kode_politikus;politikus;kode_Kerabat;kerabat_politikus;tipe_kerabat
Q72242032;Angela Tanoesoedibjo;Q102427368;Theodore Maximilian Dharmajaya;CHILD
Q72242032;Angela Tanoesoedibjo;Q102427385;Madeline Dharmajaya;CHILD
Q13091583;Angelina Sondakh;Q4683174;Adjie Massaid;SPOUSE
Q13091583;Angelina Sondakh;Q109541675;Lucky Sondakh;PARENT
Q4263230;Anies Baswedan;Q106508403;Rasyid Baswedan;PARENT
Q4263230;Anies Baswedan;Q106508446;Kaisar Hakam Baswedan;CHILD
Q4263230;Anies Baswedan;Q106508451;Ismail Hakim Baswedan;CHILD
Q4263230;Anies Baswedan;Q106508453;Mutiara Annisa Baswedan;CHILD
Q4263230;Anies Baswedan;Q106508455;Mikail Azizi Baswedan;CHILD
Q4263230;Anies Baswedan;Q56416545;Aliyah Rasyid;PARENT
Q4263230;Anies Baswedan;Q97221150;Fery Farhati;SPOUSE
Q4263230;Anies Baswedan;Q106508466;Abdillah Baswedan;SIBLING
Q4263230;Anies Baswedan;Q106508472;Ridwan Rasyid Baswedan;SIBLING
Q12472221;Anisa Bahar;Q124155471;Dian Esha Fauzan Prasetya;SPOUSE
Q12472221;Anisa Bahar;Q124155536;Memo Sanjaya;SPOUSE
Q12472221;Anisa Bahar;Q124155476;Dewinta Bahar;SIBLING
Q12472221;Anisa Bahar;Q12488239;Juwita Thofany Sanjaya;CHILD
Q12472221;Anisa Bahar;Q49251178;Jelita Bahar;CHILD
Q12472221;Anisa Bahar;Q124155499;Shakty Fani Pratama Setya;CHILD
Q12472221;Anisa Bahar;Q124155510;Shaka Fani Putra Setya;CHILD
Q4264839;Anna Tairas;Q6107461;Reynold Panggabean;SPOUSE
Q56900250;Anne Ratna Mustika;Q16174166;Dedi Mulyadi;SPOUSE
Q123709728;Annisa M.A. Mahesa;Q17410478;Desmond Junaidi Mahesa;PARENT
Q132672765;Annisa Suci Ramadhani;Q131344584;Marlon Martua Situmeang;PARENT
Q14917292;Anny Ratnawati;Q3498269;Agus Martowardojo;SPOUSE
Q12472292;Anwar Datuk Madjo Basa Nan Kuning;Q124165417;Radjo Angkat;PARENT
Q12472292;Anwar Datuk Madjo Basa Nan Kuning;Q124165446;Siti Raha;PARENT
Q84836232;Anwar Tjokroaminoto;Q2603591;Oemar Said Tjokroaminoto;PARENT
Q26236894;Arcandra Tahar;Q124168380;Taharuddin;PARENT
Q26236894;Arcandra Tahar;Q124168403;Zuraida;PARENT
Q109431878;Ardito Wijaya;Q25468529;Ahmad Pairin;PARENT
Q5703873;Ari Sihasale;Q12500705;Nia Zulkarnaen;SPOUSE
Q136485859;Arie Syafriandi Mintaredja;Q137969469;Fanny Eldiana;SPOUSE
Q136485859;Arie Syafriandi Mintaredja;Q137988510;Lia Siti Syafruliana;SIBLING
Q136485859;Arie Syafriandi Mintaredja;Q137988522;Siti Halimah Syafrimilawardani;SIBLING
Q136485859;Arie Syafriandi Mintaredja;Q137947560;Sri Widiarsih;PARENT
Q136485859;Arie Syafriandi Mintaredja;Q137908425;Alvaro Rafi Syafaat Mintaredja;CHILD
Q136485859;Arie Syafriandi Mintaredja;Q137998983;Anindia Refa Syafina;CHILD
Q136485859;Arie Syafriandi Mintaredja;Q136376383;Evac Syafruddin Mintaredja;PARENT
Q4790355;Arief Budiman;Q12494302;Leila Chairani Budiman;SPOUSE
Q4790355;Arief Budiman;Q2277434;Soe Hok Gie;SIBLING
Q12472461;Arifin Panigoro;Q121076049;Jusuf Panigoro;PARENT
Q12472461;Arifin Panigoro;Q121076022;Raisis Arifin Panigoro;SPOUSE
Q12472461;Arifin Panigoro;Q115051412;Hilmi Panigoro;SIBLING
Q12472461;Arifin Panigoro;Q16188500;Maera;CHILD
Q12472461;Arifin Panigoro;Q121076023;Yaser Raimi A. Panigoro;CHILD
Q129808744;Aris Widiharto;Q129885683;Aura Pinasthi Prawiraning Nurani;CHILD
Q129808744;Aris Widiharto;Q129885806;Radea Basukarna Prawira Yudha;CHILD
Q120202799;Arismunandar Kalma;Q109433943;Kalma Katta;PARENT
Q12472506;Arnold Achmad Baramuli;Q109541661;Aryanthi Baramuli Putri;CHILD
Q61119194;Arrival Boy;Q124247197;Roslidar;PARENT
Q61119194;Arrival Boy;Q124247147;Petir Ria Liliana Eka Putri;SPOUSE
Q61119194;Arrival Boy;Q124247152;Farhan Banu Arya;CHILD
Q61119194;Arrival Boy;Q124247154;Sachras Banu Arya;CHILD
Q61119194;Arrival Boy;Q124247158;Putri Salma Banu Arya;CHILD
Q61119194;Arrival Boy;Q124247162;Al Barra Banu Arya;CHILD
Q61119194;Arrival Boy;Q124247188;Syafril;PARENT
Q28731742;Arsul Sani;Q25469106;Sukma Violetta;SPOUSE
Q16168205;Arsyadjuliandi Rachman;Q124247334;Abdul Rachman Syafei;PARENT
Q16168205;Arsyadjuliandi Rachman;Q124247379;Sisilita Bong Arsyadjuliand;SPOUSE
Q16168205;Arsyadjuliandi Rachman;Q124247400;Arsilia Arsyadjuliandi;CHILD
Q16168205;Arsyadjuliandi Rachman;Q124247343;Asma Hasan;PARENT
Q56389995;Arteria Dahlan;Q124247852;Zaini Dahlan;PARENT
Q56389995;Arteria Dahlan;Q124247856;Wasniar;PARENT
Q105970940;Ary Iftikhar Shihab;Q105970840;Syarifah Aisah Mengga Khadijah;PARENT
Q59656271;Aryo Djojohadikusumo;Q98713645;Anie Hashim Djojohadikusumo;PARENT
Q59656271;Aryo Djojohadikusumo;Q120176217;Sachi Sophia Kurosu;SPOUSE
Q59656271;Aryo Djojohadikusumo;Q12485398;Hashim Djojohadikusumo;PARENT
Q12472588;Arzetti Bilbina;Q124041335;Aditya Setiawan;SPOUSE
Q12472588;Arzetti Bilbina;Q124041356;Bagas Wicaksono Rahadi Setiawan;CHILD
Q12472588;Arzetti Bilbina;Q124041392;Dimas Aryo Baskoro Rahadi Setiawan;CHILD
Q12472588;Arzetti Bilbina;Q124041408;Gendis Setiawan;CHILD
Q12472657;Asman Abnur;Q124251083;Aburuddin Hamzah;PARENT
Q12472657;Asman Abnur;Q124251088;Zas Juniarti;SPOUSE
Q12472657;Asman Abnur;Q124251085;Nurcahya;PARENT
Q16168725;Asnawi Bahar;Q124251125;Baharudin Labai;PARENT
Q16168725;Asnawi Bahar;Q124251174;Elyana Novira;SPOUSE
Q16168725;Asnawi Bahar;Q124251193;Oki Kurniawan;CHILD
Q16168725;Asnawi Bahar;Q124251208;M. Ikhsan Restianda;CHILD
Q16168725;Asnawi Bahar;Q124251227;Istiasa Akbar;CHILD
Q16168725;Asnawi Bahar;Q124251240;Siti Aliani Danira;CHILD
Q16168725;Asnawi Bahar;Q124251260;Adianti Ashantia;CHILD
Q16168725;Asnawi Bahar;Q124251132;Nuraini;PARENT
Q12472703;Asril Das;Q124252118;Darusi Datuk Malintang Alam;PARENT
Q12472703;Asril Das;Q124252138;Aflina;SPOUSE
Q12472703;Asril Das;Q124252120;Samsinar;PARENT
Q16168780;Asril Tanjung;Q124252149;Neny Susiani Indah Winarti;SPOUSE
Q112601372;Asrul;Q124252204;Nova Era Yanthy;SPOUSE
Q112601372;Asrul;Q124252207;Novrinda;CHILD
Q112601372;Asrul;Q124252220;Randi Hendrico;CHILD
Q112601372;Asrul;Q124252224;Ressa Okhtaviani;CHILD
Q12472734;Astrid Susanto;Q4446092;Sunario Sastrowardoyo;PARENT
Q12472734;Astrid Susanto;Q15487091;Sunaryati Hartono;SIBLING
Q120203438;Atalia Praratya;Q7333042;Ridwan Kamil;SPOUSE
Q96989450;Athari Gauthi Ardi;Q108893445;Emiko;PARENT
Q96989450;Athari Gauthi Ardi;Q124255911;Arrandityo;SPOUSE
Q96989450;Athari Gauthi Ardi;Q12482544;Epyardi Asda;PARENT
Q12472803;Atty Suharti Tochija;Q85850589;Itoc Tochija;SPOUSE
Q97306763;Audy Joinaldy;Q124256010;Fitria Amalia Umar;SPOUSE
Q97306763;Audy Joinaldy;Q124255995;Desmilia;PARENT
Q97306763;Audy Joinaldy;Q123049985;Joinerri Kahar;PARENT
Q106037105;Aulia Hany Mustikasari;Q12485056;Haeny Relawati Rini Widyastuti;PARENT
Q106037105;Aulia Hany Mustikasari;Q106036989;Ali Hasan;PARENT
Q4200761;Ayu Azhari;Q718348;Mike Tramp;SPOUSE
Q109434697;Aziz Haily;Q124260400;Desi Alang Sari;CHILD
Q109434697;Aziz Haily;Q124260411;Mitra Harau Hati;CHILD
Q109434697;Aziz Haily;Q124260425;Metri Sumatera;CHILD
Q109434697;Aziz Haily;Q124260445;Renti Mahkota;CHILD
Q109434697;Aziz Haily;Q124260468;Dedet Mitra Ari;CHILD
Q109434697;Aziz Haily;Q124260248;Fatimah Suri;PARENT
Q109693660;Azizah Etek;Q7335782;Riri Fitri Sari;CHILD
Q4833145;Azwar Abubakar;Q123865841;Tezar Azwar;CHILD
Q4833142;Azwar Anas;Q124283540;Anas Malik Sutan Masabumi;PARENT
Q4833142;Azwar Anas;Q124283566;Rakena Anas;PARENT
Q4833142;Azwar Anas;Q130485197;Ratna Sirie;SIBLING
Q76156;B. J. Habibie;Q3294779;Hasri Ainun Habibie;SPOUSE
Q76156;B. J. Habibie;Q19726132;Ilham Akbar Habibie;CHILD
Q76156;B. J. Habibie;Q64623631;Thareq Kemal Habibie;CHILD
Q76156;B. J. Habibie;Q16187445;Junus Effendi Habibie;SIBLING
Q76156;B. J. Habibie;Q19745520;Alwi Abdul Jalil Habibie;PARENT
Q76156;B. J. Habibie;Q19749103;Tuti Marini Puspowardojo;PARENT
Q4842524;Bahder Djohan;Q124295623;Mohamad Rapal;PARENT
Q4842524;Bahder Djohan;Q124295632;Ilya Waleida;CHILD
Q4842524;Bahder Djohan;Q124295624;Lisah;PARENT
Q4842524;Bahder Djohan;Q124295629;Siti Zairi Yaman;SPOUSE
Q16169810;Bambang Brodjonegoro;Q12517348;Sumantri Brodjonegoro;PARENT
Q12473894;Bambang Soesatyo;Q130530601;Laras Shintya Putri Soesatyo;CHILD
Q12473900;Bambang Trihatmodjo;Q44819;Soeharto;PARENT
Q12473900;Bambang Trihatmodjo;Q47748;Mayangsari;SPOUSE
Q12473900;Bambang Trihatmodjo;Q16044713;Halimah Agustina Kamil;SPOUSE
Q12473900;Bambang Trihatmodjo;Q4201169;Tien Soeharto;PARENT
Q12473900;Bambang Trihatmodjo;Q3177695;Tommy Soeharto;SIBLING
Q12473900;Bambang Trihatmodjo;Q7531876;Tutut Soeharto;SIBLING
Q12473900;Bambang Trihatmodjo;Q12514651;Sigit Harjojudanto;SIBLING
Q12473900;Bambang Trihatmodjo;Q12515517;Titiek Soeharto;SIBLING
Q12473900;Bambang Trihatmodjo;Q20278519;Mamiek Soeharto;SIBLING
Q12473900;Bambang Trihatmodjo;Q93612684;Panji Adhikumoro;CHILD
Q12473900;Bambang Trihatmodjo;Q106879498;Gendis Siti Hatmanti;CHILD
Q12473900;Bambang Trihatmodjo;Q106879504;Bambang Aditya Trihatmanto;CHILD
Q12473900;Bambang Trihatmodjo;Q115099789;Khirani Siti Hartina Triatmojo;CHILD
Q3701615;Basuki Tjahaja Purnama;Q31173620;Veronica Tan;SPOUSE
Q3701615;Basuki Tjahaja Purnama;Q105657662;Puput Nastiti Devi;SPOUSE
Q3701615;Basuki Tjahaja Purnama;Q105657698;Indra Tjahaja Purnama;PARENT
Q3701615;Basuki Tjahaja Purnama;Q105675422;Buniarti Ningsih;PARENT
Q3701615;Basuki Tjahaja Purnama;Q105675358;Nicholas Purnama;CHILD
Q3701615;Basuki Tjahaja Purnama;Q105675363;Daud Purnama;CHILD
Q3701615;Basuki Tjahaja Purnama;Q105675367;Nathania Purnama;CHILD
Q3701615;Basuki Tjahaja Purnama;Q105675381;Yosafat Abimanyu Purnama;CHILD
Q3701615;Basuki Tjahaja Purnama;Q16170320;Basuri Tjahaja Purnama;SIBLING
Q3701615;Basuki Tjahaja Purnama;Q61118833;Fifi Lety Indra;SIBLING
Q3701615;Basuki Tjahaja Purnama;Q105657736;Harry Tjahaja Purnama;SIBLING
Q12475663;Ben Mboi;Q12499835;Nafsiah Mboi;SPOUSE
Q109434299;Benny Dwifa Yuswir;Q124299594;Nedia Fitri Guspardi;SPOUSE
Q109434299;Benny Dwifa Yuswir;Q124299603;Endra Noflinda;PARENT
Q109434299;Benny Dwifa Yuswir;Q17411744;Yuswir Arifin;PARENT
Q19724332;Betti Shadiq Pasadigoe;Q16188447;M. Shadiq Pasadigoe;SPOUSE
Q4904525;Biem Triani Benjamin;Q818410;Benyamin Sueb;PARENT
Q12476446;Bisri Mustofa;Q6943523;Mustofa Bisri;CHILD
Q12476446;Bisri Mustofa;Q12478642;Cholil Bisri;CHILD
Q17999626;Bobby Maulana;Q12481330;Desi Florita;SPOUSE
Q54200649;Bobby Nasution;Q18342895;Kahiyang Ayu;SPOUSE
Q54200649;Bobby Nasution;Q111280754;Sedah Mirah Nasution;CHILD
Q54200649;Bobby Nasution;Q111280767;Panembahan Al Nahyan Nasution;CHILD
Q54200649;Bobby Nasution;Q115174012;Panembahan Al Saud Nasution;CHILD
Q12476725;Boer Mauna;Q124300806;Surmaini Mansoer;SPOUSE
Q18421445;Bokiratu Nitabudhi Susanti;Q97306960;Ali Muhammad Tajul Mulk Putra Mudaffar Sjah;CHILD
Q18421445;Bokiratu Nitabudhi Susanti;Q97307127;Gajah Mada Satria Nagara Putra Mudaffar Sjah;CHILD
Q109439810;Budhi Sarwono;Q96989567;Lasmi Indaryani;CHILD
Q109439810;Budhi Sarwono;Q131351990;Amalia Desiana;CHILD
Q65209610;Budi Djiwandono;Q6107118;Sudrajad Djiwandono;PARENT
Q65209610;Budi Djiwandono;Q98635255;Biantiningsih Miderawati Djojohadikusumo;PARENT
Q105299102;Budiarsa Sastrawinata;Q96776984;Nararya Sastrawinata;CHILD
Q105299102;Budiarsa Sastrawinata;Q105298983;Aditya Sastrawinata;CHILD
Q105299102;Budiarsa Sastrawinata;Q105298991;Anindya Sastrawinata;CHILD
Q105299102;Budiarsa Sastrawinata;Q105299024;Lalitya Sastrawinata;CHILD
Q109437819;Casytha Arriwi Kathmandu;Q16170072;Bambang Wuryanto;PARENT
Q123726157;Cerint Iralloza Tasya;Q123871488;Imral Adenansi;PARENT
Q5068118;Chaerul Saleh;Q124311588;Achmad Saleh;PARENT
Q5068118;Chaerul Saleh;Q124311620;Zubaidah;PARENT
Q5068118;Chaerul Saleh;Q120065259;Yohana Siti Menara Saidah;SPOUSE
Q12478570;Chalid Salim;Q106542697;Siti Zainab;PARENT
Q12478570;Chalid Salim;Q19748683;Sutan Mohamad Salim;PARENT
Q12478570;Chalid Salim;Q118629;Agus Salim;SIBLING
Q12478570;Chalid Salim;Q19734409;Siti Danilah Salim;SIBLING
Q12478570;Chalid Salim;Q106508621;Baay Salim;SIBLING
Q12478570;Chalid Salim;Q136532015;Abdoer Razak Cagir Salim;SIBLING
Q18098280;Charles Honoris;Q106828528;Rafael Rakaputra Honoris;CHILD
Q18098280;Charles Honoris;Q106828527;Luntungan Honoris;PARENT
Q12478642;Cholil Bisri;Q12476446;Bisri Mustofa;PARENT
Q12478642;Cholil Bisri;Q56391957;Yaqut Cholil Qoumas;CHILD
Q16172501;Christiany Eugenia Paruntu;Q111040549;Jopie Paruntu;PARENT
Q16172501;Christiany Eugenia Paruntu;Q96988709;Adrian Jopie Paruntu;CHILD
Q16172501;Christiany Eugenia Paruntu;Q111040547;Jenny Y. Tumbuan;PARENT
Q558979;D. N. Aidit;Q124322151;Soetanti;SPOUSE
Q558979;D. N. Aidit;Q108782375;Abdullah Aidit;PARENT
Q558979;D. N. Aidit;Q65208264;Ilham Aidit;CHILD
Q558979;D. N. Aidit;Q124322268;Ibarruri Putri Alam;CHILD
Q558979;D. N. Aidit;Q124322269;Ilya Aidit;CHILD
Q558979;D. N. Aidit;Q124322270;Iwan Aidit;CHILD
Q558979;D. N. Aidit;Q124322272;Irfan Aidit;CHILD
Q558979;D. N. Aidit;Q124317192;Mailan;PARENT
Q4252078;Dahlan Iskan;Q17410415;Azrul Ananda;CHILD
Q25469488;Damsuar;Q124322457;Deswarti;SPOUSE
Q25469488;Damsuar;Q124322459;K. Atta Jaeba;CHILD
Q25469488;Damsuar;Q124322463;Aulia F. Farabi;CHILD
Q25469488;Damsuar;Q124322464;Yufaz Aidi Mahesa;CHILD
Q131929425;Darmawangsyah Muin;Q123892106;Andi Tenri Indah;SPOUSE
Q16173885;Darul Siska;Q124323083;H.M. Said Karim;PARENT
Q16173885;Darul Siska;Q124323125;Hilma Widjaja Amiarsa;SPOUSE
Q109438273;Dasril Panin Datuk Labuan;Q124323375;Panin Mangkudum Sati;PARENT
Q109438273;Dasril Panin Datuk Labuan;Q124323423;Andi Dagmarbumi Batarisuri;CHILD
Q109438273;Dasril Panin Datuk Labuan;Q124323396;Ambunsuri;PARENT
Q109438273;Dasril Panin Datuk Labuan;Q124323413;Andi Megawarni;SPOUSE
Q16173966;Dasrul Djabar;Q124295945;Marah Djabar;PARENT
Q16173966;Dasrul Djabar;Q124295960;Eraida Bachtar;SPOUSE
Q16173966;Dasrul Djabar;Q124295951;Hafsah;PARENT
Q16173966;Dasrul Djabar;Q12474902;Basril Djabar;SIBLING
Q12481017;Datuk Djamin;Q124323794;Siti Nuraini;SPOUSE
Q12481017;Datuk Djamin;Q124323764;Datuk Malin Maharadja;PARENT
Q12481017;Datuk Djamin;Q15626784;Yazeed Djamin;CHILD
Q96988377;Dave Akbarshah Fikarno;Q2581141;Agung Laksono;PARENT
Q12481041;David Chalik;Q124324122;Deivy Zulyanti Nasution;SPOUSE
Q123715037;Dean Asli Chaidir;Q49254161;Hendri Septa;SIBLING
Q123715037;Dean Asli Chaidir;Q17410769;Muhammad Asli Chaidir;PARENT
Q5249748;Dede Yusuf;Q3231014;Roestam Effendi;PARENT
Q5249748;Dede Yusuf;Q124325266;Tammy Effendi;PARENT
Q5249748;Dede Yusuf;Q124325142;Alifiya Arkana Paramita;CHILD
Q5249748;Dede Yusuf;Q124325227;Kaneishia Lathifa Zahra;CHILD
Q5249748;Dede Yusuf;Q12507699;Rahayu Effendi;PARENT
Q5249748;Dede Yusuf;Q124325129;Sendy Ramania Wurandani;SPOUSE
Q16174166;Dedi Mulyadi;Q56900250;Anne Ratna Mustika;SPOUSE
Q16174166;Dedi Mulyadi;Q123879045;Maula Akbar Mulyadi Putra;CHILD
Q18421425;Delia Pratiwi Sitepu;Q18421370;Ngogesa Sitepu;PARENT
Q5253899;Deliar Noer;Q124325418;Noer bin Joesof;PARENT
Q5253899;Deliar Noer;Q124325443;Muhammad Dian;CHILD
Q5253899;Deliar Noer;Q124325453;Muhammad bin Deliar Noer;CHILD
Q5253899;Deliar Noer;Q124325439;Zahara Daulay;SPOUSE
Q109450544;Dellia Wihelmina;Q6065704;Sigit Purnomo Said;SPOUSE
Q96988733;Delmeria Sikumbang;Q124328311;Ilham Naufal Hutauruk;CHILD
Q96988733;Delmeria Sikumbang;Q124328323;Raihan Fadhil Hutauruk;CHILD
Q96988733;Delmeria Sikumbang;Q124328328;Fairuz Nauli Hutauruk;CHILD
Q96988733;Delmeria Sikumbang;Q17411530;Syarfi Hutauruk;SPOUSE
Q16174247;Denny Wahyudi;Q47455323;Shanty Widihastuti;SPOUSE
Q109433358;Depriwanto Sitohang;Q17410631;Johnny Sitohang;PARENT
Q17410478;Desmond Junaidi Mahesa;Q123709728;Annisa M.A. Mahesa;CHILD
Q25463297;Desra Ediwan Anantanur;Q124329446;Irianawati;SPOUSE
Q25463297;Desra Ediwan Anantanur;Q124329449;Iqbal Arindra;CHILD
Q25463297;Desra Ediwan Anantanur;Q124329462;Annisa Gita Arindika;CHILD
Q25463297;Desra Ediwan Anantanur;Q124329470;Eka Syahrini;CHILD
Q25463297;Desra Ediwan Anantanur;Q124329475;Alkadri Imsyah;CHILD
Q25463297;Desra Ediwan Anantanur;Q124329441;Syahbuddin Nur;PARENT
Q56399768;Dewanti Rumpoko;Q17410508;Eddy Rumpoko;SPOUSE
Q123337918;Dewi Asmara;Q12501199;Oetojo Oesman;PARENT
Q85990691;Dewi Handajani;Q25470796;Bambang Kurniawan;SPOUSE
Q97590866;Dewie Yasin Limpo;Q14917205;Andi Tenri Natassa;CHILD
Q97590866;Dewie Yasin Limpo;Q26818531;M. Yasin Limpo;PARENT
Q97590866;Dewie Yasin Limpo;Q106594957;Ny. Nurhayati Yasin Limpo;PARENT
Q123305348;Diah Nurwitasari;Q109724917;Abdul Hadi Wijaya;SPOUSE
Q100573485;Diah Pikatan Orissa Putri Hapsari;Q96602131;Q96602131;PARENT
Q100573485;Diah Pikatan Orissa Putri Hapsari;Q15646541;Puan Maharani;PARENT
Q1226264;Dinand Woesthoff;Q2081558;Guusje Nederhorst;SPOUSE
Q3032168;Dita Indah Sari;Q124333929;Adjidar Ascha;PARENT
Q3032168;Dita Indah Sari;Q124333942;Magdalena Willy F Firnandus;PARENT
Q17410493;Dito Ganinduto;Q97239536;Dico Ganinduto;CHILD
Q17410493;Dito Ganinduto;Q109495976;Firlie Hanggodo Ganinduto;CHILD
Q3282061;Djamaludin Malik;Q15726120;Elly Yunara;SPOUSE
Q3282061;Djamaludin Malik;Q56759746;Farida Alhasni;SPOUSE
Q3282061;Djamaludin Malik;Q132439107;Abdul Malik;PARENT
Q3282061;Djamaludin Malik;Q5025906;Camelia Malik;CHILD
Q5285224;Djan Faridz;Q121921059;Raditya Priamanaya Djan;CHILD
Q5285224;Djan Faridz;Q121921060;Radinka Ariapanditya Djan;CHILD
Q5285224;Djan Faridz;Q121921061;Rasyid Prasasta Shoka Djan;CHILD
Q5285224;Djan Faridz;Q121921062;Rasyad Pandhega Shora Djan;CHILD
Q2670453;Djoeanda Kartawidjaja;Q138638645;NR Juliana Wargadibrata;SPOUSE
Q2670453;Djoeanda Kartawidjaja;Q138638619;Poppy Djuanda Awaloedin;CHILD
Q12481747;Djohan Sjahroezah;Q106542440;Radena;PARENT
Q12481747;Djohan Sjahroezah;Q106542461;Violet Hanifah Salim;SPOUSE
Q12481747;Djohan Sjahroezah;Q106542437;Tanzil Maroehoem Diatjeh;PARENT
Q12481747;Djohan Sjahroezah;Q106542459;Ilya Arslaan Sjahroezah;CHILD
Q12481747;Djohan Sjahroezah;Q136324045;Hazil Tanzil;SIBLING
Q19725425;Djohari Kahar;Q123057024;Fidri Arnaldy;CHILD
Q19725425;Djohari Kahar;Q16163751;Adrin Kahar;SIBLING
Q19725425;Djohari Kahar;Q16166722;Amrin Kahar;SIBLING
Q19725425;Djohari Kahar;Q124332454;Reno Gadis;SIBLING
Q19725425;Djohari Kahar;Q124332455;Mariati Kahar;SIBLING
Q19725425;Djohari Kahar;Q12488464;Kaharudin Datuk Rangkayo Basa;PARENT
Q19725425;Djohari Kahar;Q123983212;Mariah;PARENT
Q12481755;Djufri;Q124335293;Zahara Hasni;SPOUSE
Q25468888;Dodi Reza Alex Noerdin;Q4717563;Alex Noerdin;PARENT
Q96987989;Dony Maryadi Oekon;Q109563818;Vanty Veronica;SPOUSE
Q107563597;Duski Samad;Q7295346;Rasuna Said;SPOUSE
Q107563597;Duski Samad;Q12470962;Ahmad Rasyid Sutan Mansur;SIBLING
Q107563597;Duski Samad;Q130376484;Auda Zaschkya;CHILD
Q109563821;Dyah Hayuning Pratiwi;Q20278547;Triyono Budi Sasongko;PARENT
Q13092889;E.E. Mangindaan;Q25459745;Harley Alfredo Benfica Mangindaan;CHILD
Q13092889;E.E. Mangindaan;Q12482243;E.A. Mangindaan;PARENT
Q61118539;Eddy Keleng Ate Berutu;Q120498864;Valentin Berutu;PARENT
Q17410508;Eddy Rumpoko;Q56399768;Dewanti Rumpoko;SPOUSE
Q7806029;Edhie Baskoro Yudhoyono;Q4200758;Kristiani Herrawati;PARENT
Q7806029;Edhie Baskoro Yudhoyono;Q101424616;Siti Ruby Aliya Rajasa;SPOUSE
Q7806029;Edhie Baskoro Yudhoyono;Q7805962;Agus Harimurti Yudhoyono;SIBLING
Q7806029;Edhie Baskoro Yudhoyono;Q57405;Susilo Bambang Yudhoyono;PARENT
Q7806029;Edhie Baskoro Yudhoyono;Q101424623;Airlangga Satriadhi Yudhoyono;CHILD
Q7806029;Edhie Baskoro Yudhoyono;Q101424735;Pancasakti Maharajasa Yudhoyono;CHILD
Q7806029;Edhie Baskoro Yudhoyono;Q101424740;Gayatri Idalia Yudhoyono;CHILD
Q72086432;Edhy Prabowo;Q96987535;Iis Edhy Prabowo;SPOUSE
Q96987327;Edward Tannur;Q128181109;Gregorius Ronald Tannur;CHILD
Q138502066;Efrianda;Q112896467;Riza Herdavid;SIBLING
Q11185376;Eko Patrio;Q12523700;Viona Rosalina;SPOUSE
Q123583249;Ellen Esther Pelealu;Q12523651;Verna Inkiriwang;CHILD
Q123583249;Ellen Esther Pelealu;Q25467966;Piet Inkiriwang;SPOUSE
Q96989170;Elly Rachmat Yasin;Q19752642;Rahmat Yasin;SPOUSE
Q12482416;Elviana;Q112896270;Panji Mursyidan;CHILD
Q21828089;Emil Dardak;Q12472561;Arumi Bachsin;SPOUSE
Q16176030;Emma Yohanna;Q108901395;Hariadi;SPOUSE
Q16176030;Emma Yohanna;Q109443385;Nikki Lauda Haryona;CHILD
Q16176030;Emma Yohanna;Q112875043;Erick Hariyona;CHILD
Q109693438;Enita Marsa;Q17410812;Muslim Muhammad Yatim;SPOUSE
Q12482544;Epyardi Asda;Q108893445;Emiko;SPOUSE
Q12482544;Epyardi Asda;Q96989450;Athari Gauthi Ardi;CHILD
Q12482544;Epyardi Asda;Q123871379;Lastuti Darni;SIBLING
Q112875043;Erick Hariyona;Q109443385;Nikki Lauda Haryona;SIBLING
Q112875043;Erick Hariyona;Q16176030;Emma Yohanna;PARENT
Q112875043;Erick Hariyona;Q108901395;Hariadi;PARENT
Q5388188;Erick Thohir;Q19725813;Garibaldi Thohir;SIBLING
Q5388188;Erick Thohir;Q107021933;Muhammad Thohir;PARENT
Q5388188;Erick Thohir;Q107061682;Arfa Thohir;CHILD
Q5388188;Erick Thohir;Q107061735;Aga Thohir;CHILD
Q5388188;Erick Thohir;Q107061781;Makayla Amadia Thohir;CHILD
Q5388188;Erick Thohir;Q107061913;Magisha Afryea Thohir;CHILD
Q12482565;Erna Witoelar;Q106903214;Rahmatiah Sonda Daeng Badji;PARENT
Q12482565;Erna Witoelar;Q7279546;Rachmat Witoelar;SPOUSE
Q12482565;Erna Witoelar;Q106903170;Andi Walinono;PARENT
Q2253449;Ernest Douwes Dekker;Q16184866;Johanna Petronella Mossel;SPOUSE
Q2253449;Ernest Douwes Dekker;Q104646311;Clara Charlotte Deije;SPOUSE
Q5395350;Eros Djarot;Q7538599;Slamet Rahardjo;SIBLING
Q65204733;Erwin Aksa;Q104167545;Ramlah Kalla;PARENT
Q65204733;Erwin Aksa;Q12471265;Aksa Mahmud;PARENT
Q109436275;Erwin Yunaz;Q123715089;Machdalena;SPOUSE
Q136376383;Evac Syafruddin Mintaredja;Q137947560;Sri Widiarsih;SPOUSE
Q136376383;Evac Syafruddin Mintaredja;Q137998976;Tito Mintaredja;SIBLING
Q136376383;Evac Syafruddin Mintaredja;Q137999271;Zsuzsi Mintaredja;SIBLING
Q136376383;Evac Syafruddin Mintaredja;Q138000118;Tetyana Mintaredja;SIBLING
Q136376383;Evac Syafruddin Mintaredja;Q137947488;Siti Romlah;PARENT
Q136376383;Evac Syafruddin Mintaredja;Q136485859;Arie Syafriandi Mintaredja;CHILD
Q136376383;Evac Syafruddin Mintaredja;Q137988510;Lia Siti Syafruliana;CHILD
Q136376383;Evac Syafruddin Mintaredja;Q137988522;Siti Halimah Syafrimilawardani;CHILD
