kode_politikus;politikus;kode_pendidikan;pendidikan
Q65209531;Agung Budi Margono;Q4200627;Universitas Diponegoro
Q96989539;Agung Budi Santoso;Q12510646;SMA Negeri 5 Surabaya
Q96989539;Agung Budi Santoso;Q12511120;SMP Negeri 2 Semarang
Q96989539;Agung Budi Santoso;Q12511291;STIE-IPWI Jakarta
Q96989539;Agung Budi Santoso;Q13098259;Universitas Merdeka Malang
Q25466087;Agung Ilmu Mangkunegara;Q19751985;Institut Pemerintahan Dalam Negeri
Q2581141;Agung Laksono;Q7894412;Universitas Kristen Indonesia
Q12470928;Agung Widiyantoro;Q6177417;Universitas Jenderal Soedirman
Q12470928;Agung Widiyantoro;Q12510274;SMA Negeri 1 Brebes
Q16164136;Agus Bastian;Q350752;Universitas Islam Indonesia
Q110103165;Agus Condro Prayitno;Q7442749;Universitas Sebelas Maret
Q12470931;Agus Gumiwang Kartasasmita;Q1026836;California Miramar University
Q12470931;Agus Gumiwang Kartasasmita;Q1087492;Pacific Western University
Q12470931;Agus Gumiwang Kartasasmita;Q3181122;Universitas Padjadjaran
Q12470931;Agus Gumiwang Kartasasmita;Q7476068;Universitas Pasundan
Q12470931;Agus Gumiwang Kartasasmita;Q8022149;Williston Northampton School
Q7805962;Agus Harimurti Yudhoyono;Q13371;Universitas Harvard
Q7805962;Agus Harimurti Yudhoyono;Q1465303;Webster University
Q7805962;Agus Harimurti Yudhoyono;Q7686944;SMA Taruna Nusantara
Q17410358;Agus Hermanto;Q1336952;Universitas Brawijaya
Q17410358;Agus Hermanto;Q12486653;Institut Sains dan Teknologi Nasional
Q17410358;Agus Hermanto;Q12511291;STIE-IPWI Jakarta
Q25468507;Agus Istiqlal;Q3181122;Universitas Padjadjaran
Q3498269;Agus Martowardojo;Q534515;Universitas Indonesia
Q12470932;Agus Masykur Rosyadi;Q2306715;Institut Pertanian Bogor
Q19942252;Agus Rianto;Q17997867;Akademi Kepolisian
Q61119292;Agus Setiadji;Q12471192;Akademi Angkatan Laut
Q19723758;Agus Suhardi;Q10862512;Akademi Militer
Q16164293;Agus Sulistiyono;Q534515;Universitas Indonesia
Q16164293;Agus Sulistiyono;Q12523482;Universitas Widya Mataram Yogyakarta
Q72087658;Agus Suparmanto;Q7894418;Universitas Nasional
Q19723760;Agus Susanto;Q12523322;Universitas Ekasakti
Q10860255;Agustin Teras Narang;Q7894412;Universitas Kristen Indonesia
Q96988001;Agustina Wilujeng Pramestuti;Q4200627;Universitas Diponegoro
Q96988001;Agustina Wilujeng Pramestuti;Q12523351;Universitas Islam Sultan Agung
Q96988001;Agustina Wilujeng Pramestuti;Q19739973;SMP Negeri 12 Semarang
Q61118691;Agustinus Payong Boli;Q7896000;Universitas Nusa Cendana
Q96989072;Ahmad Ali;Q12523473;Universitas Tadulako
