politikus;kode_politikus
Abdurrachman;Q123884605
Abdurraham;Q123890297
Abdurrahman;Q123710746
Abdurrahman;Q123873173
Abdurrahman;Q123875859
Abdurrahman Ahmad;Q123865767
Abdurrahman Aspuri;Q123869145
Abdurrahman Hamzah;Q123896109
Abdurrahman Tarsali Pratomo;Q123879416
Abdurrani;Q123887350
Abdurrasyid;Q123884948
Abdurrazak;Q123884984
Abdurrokhim;Q123878628
Abdurrosyid Razak;Q123884684
Abdurrouf;Q123886894
Abdus Salam;Q123713994
Abdus Somad;Q123868311
Abdussalam;Q123889152
Abdussatar Khalil;Q123715926
Abdussukur Kaliky;Q123895279
Abdusy Syahid;Q123868759
Abdy Irawan;Q123875244
Abdy Yuhana;Q123711773
Abed;Q123891777
Abed Nego Simanjuntak;Q123889480
Abel Wayap;Q123898106
Abena Kogoya;Q123898997
Abes Serabut;Q123899474
Abgar Restu Adji;Q123717100
Abi Ichwanudin;Q123876657
Abi Krisma Wicaksono;Q123883957
Abi Munawir Al Madani;Q123876320
Abi Rahmat Rizki;Q123873735
Abia;Q123890175
Abia Ullu;Q123897166
Abidah;Q123872857
Abidah Syamilah;Q123893068
Abidillah Effendi;Q123881668
Abidin;Q123879490
Abidin Nasar;Q123716022
Abiding Slamet;Q123893644
Abil Toriq Syahputra;Q123892700
Abim Andoka Aripin S;Q123874693
Abim Mustiandi;Q123875546
Abius You;Q123898762
Abiut Rabrageri;Q123898477
Abiyan Hamam Faradish;Q123713716
Abizar;Q123874618
Abjan Raja;Q123895669
Abner Mambrasar;Q123896910
Abner Nones;Q123895895
Abner Paulus Beruatwarin;Q123895357
Abner Timisela;Q123894851
Abner Timisela;Q123894865
Abner Wetipo;Q123896547
Aboel Hasan Felayati;Q123876991
Abola Kogoya;Q123899093
Abon Usman M.A;Q123865866
Abraham;Q123891845
Abraham;Q123893165
Abraham Garuda Laksono;Q123867869
Abraham George Tanaty;Q123896954
Abraham Hermanus Abisay;Q123896741
Abraham John Gervin Ansiga;Q123890496
Abraham Litinau;Q123885939
Abraham Raja Rohi;Q123886628
Abraham Runga;Q123886336
Abraham Soumilena;Q123896621
Abraham Timang;Q123898633
Abram Nicolas Ati Vargas;Q123875953
Abrari;Q123884512
Abriantinus;Q123710766
Abrianto Amin;Q123889344
Absalom Bethuel Makabori;Q123896931
Abson Maengga;Q123890659
Abta Ikranegara Adhyatma;Q123884583
Abu Bakar;Q123867122
Abu Bakar;Q123869038
Abu Bakar;Q123877908
Abu Bakar H. Yasin;Q123868000
Abu Bakar Johan;Q123866725
Abu Bakar Siddik;Q123872294
Abu Bakar Sidik;Q123871534
Abu Bakar Sidik;Q123873176
Abu Fitri Mu'min;Q123878959
Abu Hanifau Asso;Q123898903
Abu Hasan;Q123713668
Abu Hasan;Q123714427
Abu Hudzaefah;Q123711020
Abu Kasim Manaray;Q123897491
Abu Khoiri;Q123871808
Abu Masihad;Q123881823
Abu Nafi;Q123880443
Abu Nahawa;Q123895300
Abu Naim;Q123873278
Abu Said Alhudari;Q123715302
Abu Suid;Q123871340
Abu Thalib Iribaram;Q123897543
Abubakar;Q123710572
Abubakar Ali;Q123716635
Abubakar Hitimala;Q123895314
Abubakar Siddiq;Q123866434
Abubakar Uq;Q123884935
Abud Bahaswan;Q123699748
Abudin Halilu;Q123891664
Abudin Sondeng;Q123891671
Abul Hasan Seknun;Q123896012
Abun Yani;Q123872516
Abusari;Q123874013
Abusari Wali;Q123716708
Aby Fauzi;Q123868265
