politikus;kode_politikus
Yongki Fanca Doma;Q123715671
Yongkie Limen;Q123890385
Yonglens Souw;Q123895926
Yoni Betsildah Tampake;Q123891679
Yonius Murib;Q123899012
Yonius Murib;Q123899033
Yooky Tjahrial;Q123713479
Yop Kogoya;Q123899193
Yopa Santi;Q123873653
Yopi;Q123876014
Yopi B Surat;Q123885826
Yopi Nugraha Ramdhani;Q123873545
Yopi Oktavianto;Q123878933
Yopi Rianda;Q123868257
Yopi Rizki Ramadhan;Q123870940
Yopi Saraung;Q123890628
Yopie Yohanis Rakmeni;Q123885832
Yoppy Anggriawan;Q123886800
Yoppy Frans Manunwembun;Q123895501
Yoppy Wira Adie Setyantoro;Q123872397
Yoram Sunbanu;Q123886620
Yorda Imam Sutomo;Q123878560
Yordan Irano Saya;Q123897814
Yordan M. Batara-Goa;Q123883009
Yordan Windesi;Q123897640
Yordania Jefrria Wandik;Q123899234
Yordaningsih;Q123714603
Yorie Yulius Cores Moningka;Q123890541
Yorim Endama;Q123896412
Yorim Momiake;Q123899297
Yoris Yohosua Watofa;Q123897226
Yorius Morib;Q123898470
Yos Elopere;Q123898899
Yos Hilapok;Q123899192
Yos Pendri Gustian;Q123871438
Yos Sariadi;Q123871168
Yos Soedarso Mardjuni;Q123891266
Yos Sudarso;Q123866740
Yos Wenda;Q123899165
Yos Yaas;Q123896837
Yosa Octora Santono;Q123711942
Yosafat Aligat Alitnoe;Q123899238
Yosafat Badokapa;Q123898840
Yosafat Kelvin Pengandaheng;Q123892786
Yose Rizal;Q123715661
Yose Rizal Papuana Mayor;Q123898200
Yose Rizal Pristiwaji;Q123712827
Yosea Suryo Widodo;Q123883713
Yosef Elwardus Murti Putra;Q123887202
Yosef Hasman;Q123886190
Yosef Lagut;Q123886142
Yosef Lede;Q123885791
Yosef Nawipa;Q123898541
Yosef Nua;Q123716059
Yosef Rusdiansyah;Q123894242
Yosefa Mairimau;Q123898646
Yosefa Matanubun;Q123895479
Yosefina Bertha Plailaka;Q123895513
Yosep Adii;Q123896486
Yosep Gunawan;Q123879277
Yosep Hendra Archowijoyo;Q123897943
Yosep Karoba;Q123899152
Yosep Kerobi Bata;Q123890279
Yosep Meran Lagaur;Q123886420
Yosep Nehemia Pariaribo;Q123897076
Yosep Panorangi Sitompul;Q123889004
Yosep Payage;Q123899411
Yosep Rodibillah Maulana Yusuf;Q123711275
Yosep Rudolof Roy Warbal;Q123895160
Yosep Sapan;Q123896739
Yosep Sikteubun;Q123897962
Yosep Soge Pata'dungan;Q123891580
Yoseph Alexander;Q123887360
Yoseph Ansar Rera;Q123886306
Yoseph Awunim;Q123898072
Yoseph Edy Setyoharjo;Q123882702
Yoseph Luturyali;Q123878488
Yoseph Mahdi Yunansyah;Q123878499
Yoseph Minai;Q123898261
Yoseph Salmon Yusuf;Q123711812
Yoseph Sumarlin;Q123875647
Yoseph Wanan;Q123897804
Yosepha Dewi Setyaningrum;Q123882817
Yosepha Natruma Alikulu;Q123898077
Yosephina Bastiana Watopa;Q123896587
Yosephina Pigai;Q123725868
Yosephus Maria Vantris Lado;Q123886220
Yosepina Feragi;Q123897942
Yoserizal;Q123882371
Yoshepina Kreuway Nerotouw;Q123897927
Yosi Pratiwi;Q123874684
Yosi Wihara;Q123878952
Yosia Busub;Q123899399
Yosia Heartha Dhalasta Wangsajaya;Q123887874
Yosia Putri Christiani;Q123885739
Yosia Wetapo;Q123899105
Yosias Anawaru;Q123886035
Yosias Gunawan;Q123891772
Yosias Nicholas Fonataba;Q123896936
Yosias Tebai;Q123898706
Yosie Christina;Q123871893
Yosina Wenda;Q123899050
Yosita;Q123713819
Yoslie Akhmad;Q123874337
Yosmartono;Q123893636
Yosmina Wafom Walilo;Q123898925
Yosminaldi;Q123715023
Yospezia Adri;Q123876675
Yosrizal;Q123726445
Yosrizal Yusuf;Q123871579
Yossep Arisbianto;Q123881719
Yossi Nofrianti;Q123871394
Yossi Trianda Putra;Q123887433
Yossy Hermanto;Q123883622
Yosua Heluka;Q123899415
Yosua Sugara;Q123887015
Yosua Tipagau;Q123898281
Yotamina Lengka Soma;Q123899374
Yoti Gire;Q123717104
Yotu Wanimbo;Q123898467
Youke Lukar;Q123890430
Yovanka Angela Siregar;Q123716662
Yovi Adhitya Wardani;Q123883355
Yovi Antika;Q123871797
Yovi Indra Putra;Q123873720
Yovia Adhisty;Q123871291
Yovita Hoar;Q123886574
Yovita Kope;Q123898011
Yovita Kun Dewi Retna Mulatsih;Q123889983
Yowas Bajan;Q123897206
Yoyo Arifardhani;Q123878845
Yoyo Priyo Sudono;Q123888474
Yoyo Subagio;Q123876605
Yoyo Suryo Wardoyo;Q123867755
Yoyo Sutaryo S;Q123711955
Yoyok Setiawan;Q123889120
Yoyok Subagiono;Q123883032
Yoyok Switohandoyo;Q123878034
Yoyom Romya;Q123879750
Yoyon;Q123877057
Yoyon Sujana;Q123709695
Yozirizal;Q123874752
Yozua;Q123893330
Yu Ainah;Q123875670
Yuan Ari Efendi;Q123874129
Yuan Puspita Dewi;Q123712545
Yuandrias;Q123887628
Yuang Sri Saloko;Q123710543
Yuanita Qomariyah;Q123713712
Yuanita Shella Widtari;Q123877135
Yuano;Q123887957
Yubal Gobai;Q123898562
Yuda Al Bahrul Ihsan;Q123867571
Yuda Bhakti;Q123871553
Yuda Dedy Kurniawan;Q123868452
Yuda Mahendar;Q123714906
Yuda Sulistiyanto;Q123716173
Yudawastuti;Q123875118
Yudha Adhi Oetomo;Q123877919
Yudha Al Hadjid;Q123874478
Yudha Fijria Harisandi;Q123711049
Yudha Hermawan;Q123873754
Yudha Lesmana;Q123870125
Yudha Mahardhika Mulyadi;Q123714956
Yudha Novanza Utama;Q123715269
Yudha Panggabean;Q123889297
Yudha Permana;Q123877788
Yudha Pratama;Q123884399
Yudha Pribadi;Q123710713
Yudha Rinaldi;Q123873094
Yudha Satria;Q123866676
Yudha Sukarya;Q123874354
Yudhi Farid;Q123878986
Yudhi Irsyadi Syafi'i;Q123713055
Yudhi Kurniawan;Q123882204
Yudhi Yogaswara Darmawan;Q123711244
Yudhi. S. Abd. Majid;Q123866908
Yudhia Sabaruddin;Q123877404
Yudhiansyah;Q123887145
Yudhianto Mahardika;Q123893032
Yudhie Hargianto;Q123883322
Yudho Ilham Wijaya;Q123883363
Yudhy Sanjaya;Q123875978
Yudi;Q123889234
Yudi Adi Prabowo;Q123889151
Yudi Arianto;Q123878826
Yudi Budi Wibowo;Q123868171
Yudi Cahaya;Q123889077
Yudi Candra;Q123875592
Yudi Darmawansyah;Q123866761
Yudi Dwi Yudhayana;Q123885414
Yudi Efrizon;Q123712132
Yudi Erdison;Q123873633
Yudi Fadilah;Q123715359
Yudi Hariyanto. Ey;Q123873008
Yudi Haryansah;Q123709980
Yudi Harzan;Q123867293
Yudi Indras W;Q123880703
Yudi Kristanto;Q123879091
Yudi Kurnain;Q123713760
Yudi Kurnia;Q123699334
Yudi Mashudi;Q123873138
Yudi Mulia;Q123872469
Yudi Nugroho;Q123709978
Yudi Riyanto;Q123866868
Yudi Saepuloh;Q123710957
Yudi Setiawan;Q123715593
Yudi Setiawan Dwi Putra;Q123874533
Yudi Surjadi;Q123711053
Yudi Sutama;Q123882644
Yudi Wahyudin;Q123868421
Yudi Wahyudin Suryaputra;Q123876388
Yudi Yanis;Q123887156
Yudi Yuswantoro;Q123883695
Yudiaman Firusdi;Q123894660
Yudie Mohamad Manan;Q123868210
Yudin Hilimi;Q123894241
Yudistiara Kateluni;Q123874476
Yudistira Bayu Budjang;Q123888631
Yudistira Permana Bintoro;Q123885284
Yudo Kusumowardani;Q123711065
Yudo Priambodo Swasono;Q123884408
Yudoh Frediyanto;Q123882008
Yudulmiati Djakaria;Q123894233
Yuel;Q123888147
Yufriadi Yusuf;Q123871978
Yuhami Aras;Q123866941
Yuhdar;Q123874378
Yuhelmi;Q123872004
Yuhelvanuch;Q123715531
Yuhelvi;Q123873080
Yuhendri;Q123879826
Yuhilda Harahap;Q123887265
Yuke Yurike;Q123877432
Yuki Permana;Q123716816
Yukir Kailul;Q123896260
Yuko Mince Kombuno;Q123891641
Yul Aflizar;Q123866609
Yul Patmawati;Q123885062
Yulaini Ridianti;Q123877179
Yulan Ismail;Q123893949
Yulanah Usni;Q123715456
Yulanda Wonemseba;Q123897391
Yulandari;Q123890100
Yulardi Hamdani Abd;Q123712824
Yulce Fiorentina Rumi;Q123897656
Yulce Wenda;Q123716978
Yuldi Herman;Q123872807
Yulhidir;Q123715691
Yuli Afrina;Q123715060
Yuli Amalia;Q123887786
Yuli Anjar Rokhani;Q123882935
Yuli Armansyah;Q123710382
Yuli Asma Yunita;Q123871193
Yuli Astuti;Q123874254
Yuli Daniati;Q123713426
Yuli Dwi Putri;Q123874091
Yuli Febriani;Q123872759
Yuli Fitri Astuti;Q123874980
Yuli Fitria;Q123889195
Yuli Herlina;Q123889291
Yuli Indrianti;Q123876919
Yuli Kambue;Q123899449
Yuli Kurniawan;Q123884046
Yuli Kusmiati;Q123884167
Yuli N. Menanti;Q123899041
Yuli Nurjati;Q123881209
Yuli Prahmawati;Q123712761
Yuli Purwanta;Q123874783
Yuli Rofa'i;Q123883666
Yuli Rusdiansyah;Q123889361
Yuli Safitri;Q123870628
Yuli Setiawan Dwi Purnomo;Q123890745
Yuli Supiyati;Q123716810
Yuli Weya;Q123899141
Yuli Widy Astono;Q123875604
Yuli Wulandari;Q123884611
Yuli Yandri;Q123871377
Yuli Yuliarti;Q123872462
Yuli Zuardi Rais;Q123879850
Yulia;Q123710488
Yulia;Q123872642
Yulia Agustina;Q123874873
Yulia Ambarani;Q123868689
Yulia Andriani;Q123865988
Yulia Artanti;Q123884836
Yulia Astuti;Q123710754
Yulia Ferina;Q123871074
Yulia Hartini;Q123885565
Yulia Indrawati;Q123888242
Yulia Juwita Es;Q123712949
Yulia Lahudra;Q123711276
Yulia Magdalena;Q123875005
Yulia Mayang Sari;Q123868127
Yulia Melan Dari;Q123874686
Yulia Michella Kristy;Q123887271
Yulia Osman;Q123871006
Yulia Rifatul Laili Boutie;Q123714364
Yulia Rizky Anggeraini;Q123888635
Yulia Roshayati;Q123872504
Yulia Safitri;Q123713680
Yulia Suri;Q123715304
Yulia Susanti;Q123709955
Yulia Syafaria;Q123871794
Yulia Walilo;Q123898938
Yulia Yasmine Dharmayanti;Q123879195
Yuliadin;Q123885480
Yuliah Esti Ambarwati;Q123884440
Yulian Gobay;Q123898683
Yulian Heronafdi;Q123866746
Yulian Magai;Q123898626
Yulian Norwis;Q123872050
Yuliana;Q123711330
Yuliana;Q123714057
Yuliana;Q123871218
Yuliana;Q123872208
Yuliana;Q123881583
Yuliana;Q123886816
Yuliana;Q123886882
Yuliana;Q123889222
Yuliana;Q123887282
Yuliana;Q123891716
Yuliana Edowai;Q123898841
Yuliana Fony Muljono;Q123710336
Yuliana Fransina S. Sibi;Q123896551
Yuliana H;Q123894640
Yuliana Hombore;Q123896896
Yuliana Kegiye;Q123898674
Yuliana Lenggu;Q123885834
Yuliana M Tekege;Q123898255
Yuliana Mayau;Q123898409
Yuliana Monoarfa;Q123894263
Yuliana Rusmita;Q123711267
Yuliana Sada;Q123897260
Yuliana Sandra Balagaize;Q123898104
Yuliana Sari;Q123713194
Yuliana Setia Rahayu;Q123885394
Yuliana Situmorang;Q123710884
Yuliana Sulistyo Rini;Q123879845
Yuliana Susanti;Q123882609
Yuliana Tapom;Q123898138
Yuliana Yokhu;Q123896678
Yulianasari;Q123868500
Yuliance Silpa Felle;Q123896687
Yuliance Tebai;Q123898512
Yulianda Heumasse;Q123897628
Yuliandeti;Q123866910
Yuliandri;Q123871003
Yulianensi Herlina Diman Tagung;Q123886060
Yuliani;Q123868099
Yuliani;Q123879675
Yuliani;Q123887560
Yuliani M. Atonggar;Q123897987
Yuliani Pratiwi;Q123875153
Yulianil Fadilah;Q123888129
Yulians Charles Gomar;Q123897729
Yuliansyah;Q123888680
Yulianti;Q123873490
Yulianti;Q123873618
Yulianti;Q123878475
Yulianti;Q123886739
Yulianti A.R. Hasan;Q123893821
Yulianti Bilakonga;Q123878652
Yulianti Intan Ulandari;Q123866963
Yulianti Supriyatiningsih;Q123713159
Yulianto;Q123872467
Yulianto;Q123874955
Yulianto;Q123874271
Yulianto;Q123887290
Yulianty;Q123892794
Yulianus Asroni;Q123887376
Yulianus Betembo Amta;Q123897989
Yulianus Degei;Q123898769
Yulianus Dou;Q123898824
Yulianus Dowansiba;Q123897212
Yulianus Dowansiba;Q123897338
Yulianus Dwaa;Q123896693
Yulianus Henock Sumual;Q123726161
Yulianus Nawipa;Q123898765
Yulianus Pekei;Q123898659
Yulianus Rumbairusy;Q123896559
Yulianus Rumboisano;Q123896969
Yulianus Sondegau;Q123898273
Yulianus Tabuni;Q123899024
Yulianus Wetapo;Q123899103
Yulianus Yikwa;Q123899147
Yuliarso;Q123879438
Yuliasni Yulizar;Q123877856
Yuliati;Q123880067
Yuliati;Q123886974
Yulida Tri Ratna Dewi;Q123713511
Yulie Christiana;Q123871620
Yulieth Rambu Padu Lemba;Q123885987
Yulihardin;Q123866510
Yulika Hasanah;Q123714651
Yulilis;Q123710534
Yulina Kurnia Restanti;Q123714125
Yulinar;Q123870046
Yulinar;Q123875221
Yulinar Havsa Pasaribu;Q123714714
Yulince Iyai;Q123898688
Yulinda Ariyani;Q123873936
Yulinda Lampe;Q123710541
Yulinda Pratikaningrum;Q123881497
Yulinofri;Q123870740
Yulinus Baminggen;Q123899227
Yulisman;Q123870821
Yulisman;Q123873251
Yulismar;Q123875942
Yulista V. Makatika;Q123895802
Yulistia Christine;Q123877647
Yulistiana;Q123875263
Yulistiani;Q123868710
Yulistina;Q123880049
Yulistina Ekawati;Q123888669
Yulistirah;Q123875284
Yulita;Q123875175
Yulita;Q123875261
Yulita Bhayawarlinda De Haan;Q123716105
Yulita Desa;Q123897413
Yulita Kobogau;Q123898337
Yulita Mansyur;Q123709664
Yulius Agustina;Q123883391
Yulius Bendi;Q123888204
Yulius Bobo;Q123716143
Yulius Cesar Nonga;Q123886202
Yulius Danil;Q123870875
Yulius Dinandus;Q123889928
Yulius Edward Sinaga;Q123872939
Yulius Erens Rumbrawer;Q123897109
Yulius Gobai;Q123717121
Yulius Hermenegildus Kila Moi;Q123886314
Yulius Kaisar;Q123871217
Yulius Kalolik;Q123899191
Yulius Klau;Q123886553
Yulius Laki;Q123886338
Yulius Laoli;Q123870233
Yulius Malton Paramma;Q123897443
Yulius Nur;Q123872452
Yulius O. Banunaek;Q123886608
Yulius Patombe';Q123897807
Yulius Riung;Q123890242
Yulius Sitanggang;Q123878798
Yulius Souwela;Q123896907
Yulius Tipa;Q123891385
Yulius Umbu Hunggar;Q123716123
Yulius Wijayanto;Q123716122
Yulius Yagung;Q123890343
Yulius Yapugau;Q123898322
Yuliyah Wijayanti;Q123716290
Yuliyus;Q123890064
Yuliza Hardi;Q123872818
Yuliza Maulinda;Q123866696
Yulizal;Q123872179
Yulizar Bila;Q123871167
Yulizarmi Satria;Q123866565
Yullen Carla Papilaya;Q123895449
Yully Sarah Murib;Q123717108
Yuly Matuan;Q123899315
Yulyanah;Q123868150
Yumalinda Dasarona;Q123896662
Yumandil Ahwan;Q123886263
Yumarni Latif;Q123711564
Yumiati;Q123891464
Yumiati Dapa Wawa;Q123885751
Yumisah;Q123873753
Yumison Karoba;Q123898503
Yumizar H. M. Yusuf;Q123875892
Yun Ilman;Q123715166
Yunadi;Q123865927
Yunadi;Q123867199
Yunadi. Hr;Q123866099
Yunadya Purwaning Tyas;Q123898597
Yunaery Hastati;Q123712448
Yunan Abduh;Q123880808
Yunan Bau;Q123893747
Yunan Effendi;Q123880994
Yunan Helmi;Q123886904
Yunardi Natsir;Q123866538
Yunasril;Q123869744
Yunastri Ishak;Q123894016
Yundha Dino Palawansa;Q123716939
Yundina Kogoya;Q123898631
Yuneas Kudiai;Q123898588
Yunes Weya;Q123899160
Yungky Gustiranda;Q123711245
Yuni Ariati;Q123888555
Yuni Asnita;Q123714720
Yuni Chaerunnisa;Q123876620
Yuni Chandra Jaflean;Q123895447
Yuni Damayanti;Q123886390
Yuni Darti;Q123873254
Yuni Dewi Nasiroh;Q123712565
Yuni Dewi Sriwigati Priyanto;Q123883908
Yuni Edi;Q123882974
Yuni Eliza;Q123877465
Yuni Fitri;Q123870920
Yuni Hairunita;Q123887550
Yuni Hariani;Q123884956
Yuni Harlinda;Q123866755
Yuni Iriana Randongkir;Q123896485
Yuni Lorentika Ginting;Q123716128
Yuni Masriana;Q123866592
Yuni Nurlita;Q123889254
Yuni Salamah;Q123874883
Yuni Sapitri;Q123890348
Yuni Sartika;Q123867134
Yuni Sri Rahayu;Q123877289
Yuni Widyaningsih;Q123881450
Yuni Yulianti;Q123878265
Yunia Shofiasti;Q123866095
Yuniana Mulyana;Q123892856
Yuniana Wandik;Q123898357
Yunianti Erfina Tjeleni;Q123895899
Yunianto Wahyudi;Q123884000
Yuniar;Q123866387
Yuniar;Q123886879
Yuniar Dewi;Q123875247
Yuniar Marpaung;Q123870305
Yuniarni Pustoko Weni;Q123875667
Yuniarno;Q123714376
Yuniarsih;Q123896574
Yuniarti;Q123710460
Yuniarti;Q123884317
Yuniarti;Q123888015
Yuniarti;Q123887151
Yuniarti;Q123888349
Yuniarti Puji Astuti;Q123883508
Yuniati;Q123712088
Yuniati Kunaidah;Q123713908
Yuniawati Edy;Q123893394
Yunida Maharani;Q123867866
Yunida Sri Utami;Q123877535
Yunidar;Q123715067
Yunie Widhi Kurniasih;Q123879130
Yuniharti;Q123875120
Yunika Indri Ani;Q123875958
Yunika Nazar Tanjung;Q123869485
Yunike Kameli;Q123885990
Yunilas R.;Q123875812
Yunilawati;Q123871049
Yunimar;Q123867078
Yuningsih;Q123699471
Yuningsih;Q123879311
Yunisra Syahiran;Q123871039
Yunistiara Azhar;Q123709766
Yunita;Q123711022
Yunita Anggi;Q123715605
Yunita Dian Suwandari;Q123725988
Yunita Dyah Rahmawati;Q123884268
Yunita Gracetin Kaunang;Q123891068
Yunita Indarini;Q123716176
Yunita Maria Kandioh;Q123716216
Yunita Maya Sari;Q123866853
Yunita Mayasari;Q123888324
Yunita Muliana;Q123877728
Yunita Olin;Q123886525
Yunita Puspita Sari;Q123868430
Yunita Putri Dewi;Q123872821
Yunita Rahmah;Q123888467
Yunita Rio Fanda;Q123872113
Yunita Riska Damayanti;Q123713001
Yunita Rosita;Q123889381
Yunita Savitri;Q123885512
Yunita Sejati Mulia;Q123877020
Yunita Septy Tafrijiyah;Q123883525
Yunita Surianie;Q123867301
Yunita Syahril;Q123866957
Yunita Yakseb;Q123896295
Yunitha Enggelitha Winokan;Q123890878
Yunius Dewelek;Q123898394
Yunius Luchas Rumere;Q123896996
Yunius Yelem;Q123897834
Yunizar;Q123887481
Yunizar Taufik;Q123874730
Yunu Herdiana;Q123879570
Yunus;Q123866292
Yunus;Q123872201
Yunus;Q123879110
Yunus;Q123890037
Yunus;Q123892611
Yunus Adhi Prabowo;Q123877034
Yunus Barend Boerdam;Q123897067
Yunus Demonamang;Q123896710
Yunus Gobai;Q123898262
Yunus H. Takandewa;Q123885924
Yunus Iyai;Q123898726
Yunus Kasturi;Q123896067
Yunus Lawiya;Q123898334
Yunus Marian;Q123898912
Yunus Serang;Q123895370
Yunus Suparlin;Q123894707
Yunus T. Patandianan;Q123893533
Yunus Tebai;Q123896456
Yunus Tuhulele;Q123895120
Yunus Umbu Lele;Q123885965
Yuny Restina Gazaly. U;Q123894605
Yupita Upit Roga;Q123886459
Yurana Nirigi;Q123899114
Yurang;Q123889626
Yurdan Nil;Q123867215
Yuri Armisari;Q123877524
Yuri Hadiah;Q123726249
Yurida;Q123889923
Yuridawati;Q123888548
Yurikus Dimang;Q123887638
Yurin Diaken F. Morin;Q123896507
Yurince Waker;Q123898404
Yurita Ullo;Q123897334
Yurizal;Q123878697
Yurjani Moga;Q123871659
Yurlita;Q123866079
Yurman Hamedi;Q123866952
Yurmanengsih;Q123867326
Yurnalita;Q123876231
Yurni Aswita;Q123876764
Yurni Mardety Pilan;Q123710799
Yurnita;Q123870849
Yurthinus Mandacan;Q123897373
Yus Bariah;Q123875021
Yus Derahman;Q123725893
Yus Faisal;Q123868022
Yus Hanafy Siregar;Q123869896
Yus Mangun;Q123891535
Yus Oktavia;Q123876787
Yus Russamsi Ahmad;Q123711124
Yus Ruswandi;Q123878731
Yusa Andriansyah;Q123868166
Yusak Edue;Q123898425
Yusak Elisa Kathi;Q123868721
Yusak Ernes Tebay;Q123898672
Yusak Gombo;Q123899130
Yusak Musa Robo;Q123885898
Yusak Rabrageri;Q123896514
Yusak Samonsabra;Q123896713
Yusak Siahaya;Q123891502
Yusda;Q123889894
Yusda Asmorokondi;Q123883606
Yusdaliah;Q123892485
Yusee;Q123874710
Yusham;Q123894454
Yusia Kogoya;Q123899150
Yusidawati;Q123876443
Yusinta Ningsih Nenobahan Syarief;Q123711352
Yusirwan;Q123874269
Yuslahairi;Q123870429
Yuslanik;Q123886817
Yuslillah Ningsih;Q123713838
Yuslim;Q123876628
Yuslindawati;Q123709977
Yusmainar;Q123865820
Yusman Abdul Gapur;Q123866871
Yusman Fahim;Q123893487
Yusman Maunti;Q123894293
Yusman Sutoyo;Q123893437
Yusman Tiha;Q123893355
Yusmaneli;Q123874127
Yusmar Abdillah;Q123709732
Yusmaulina Rita;Q123870931
Yusmeri;Q123875142
Yusmiadi;Q123866301
Yusmina Lelan;Q123886643
Yusnadi;Q123875067
Yusnah;Q123875420
Yusnani Handayani;Q123714209
Yusnawati Yusuf;Q123716546
Yusnelly;Q123886685
Yusni Kholifah;Q123874896
Yusni Yarti Djainun;Q123895004
Yusnianti;Q123890228
Yusniar;Q123867016
Yusniarti;Q123876153
Yusnilawati;Q123699485
Yusnita;Q123866654
Yusniwati;Q123870946
Yusny Amirul;Q123716746
Yusra;Q123866084
Yusraa;Q123870565
Yusran;Q123716327
Yusran;Q123866541
Yusran;Q123889979
Yusran;Q123888755
Yusran Ance;Q123870840
Yusran Ando;Q123895883
Yusran Pauwah;Q123896292
Yusran Sofyan;Q123891985
Yusran Yunus;Q123871437
Yusri;Q123865901
Yusri;Q123868406
Yusri;Q123868417
Yusri;Q123873733
Yusri Addin Yusuf;Q123710210
Yusri Barmawi;Q123896289
Yusri M. Helingo;Q123726203
Yusri Muksin;Q123716915
Yusriah Dzinnun;Q123710280
Yusril;Q123875716
Yusril Fuad;Q123869372
Yusrizal;Q123713117
Yusrizal;Q123715137
Yusrizal;Q123865877
Yusrizal Ibrahim;Q123865833
Yusrizal Tanjung;Q123871599
Yusrizal, Dt. Rajo Johan;Q123871484
Yusro;Q123884561
Yusro Abrar;Q123712260
Yusro Hendra Perbasya;Q123874589
Yusron;Q123884536
Yusronida Suralaga;Q123715665
Yussafat Rendra;Q123872063
Yusthina Ugino Alom;Q123898363
Yustia Dwi Saputri;Q123898382
Yustian F. M.;Q123877107
Yustiawan;Q123873322
Yustin Elisa Eviense;Q123896053
Yustina Adriana Uni;Q123877053
Yustina D. Simbolon;Q123709823
Yustina Danersa;Q123710453
Yustina Gebze;Q123897901
Yustina Lema;Q123885703
Yustina Ps. Manufandu;Q123897136
Yustina Repi;Q123870168
Yustina Yuyut Satya Indri Astuti;Q123882761
Yustini;Q123865894
Yustinus Afandi Yunianto;Q123872738
Yustinus Angga;Q123887583
Yustinus Butu;Q123898233
Yustinus Calvyn Mampioper;Q123898301
Yustinus Hura;Q123711338
Yustinus Khristiandri;Q123879008
Yustinus Tabuni;Q123898915
Yustinus Tae;Q123886541
Yustinus Tebai;Q123898711
Yustisia Dibrina;Q123710765
Yustreysya Shaleh;Q123895781
Yustus B. Ayatanoi;Q123897307
Yustus Rangkoratat;Q123895505
Yustus Refra;Q123895355
Yustus Siep;Q123899440
Yustus Towansiba;Q123897329
Yustus Way;Q123898634
Yusuf;Q123709769
Yusuf;Q123866082
Yusuf;Q123867118
Yusuf;Q123866366
Yusuf;Q123870592
Yusuf;Q123872599
Yusuf;Q123876076
Yusuf;Q123878504
Yusuf;Q123877408
Yusuf;Q123885132
Yusuf;Q123885349
Yusuf;Q123891151
Yusuf Abdul Aziz;Q123711976
Yusuf Apandi;Q123879260
Yusuf Benyamin Balle;Q123885875
Yusuf Burhanudin;Q123878063
Yusuf Efendi;Q123880705
Yusuf Gayo;Q123866145
Yusuf Harahap;Q123870667
Yusuf Hidayat;Q123879891
Yusuf Hs;Q123866459
Yusuf Kurniawan;Q123874786
Yusuf Laridja;Q123716292
Yusuf Manu;Q123886591
Yusuf Maulana;Q123878480
Yusuf Maulana;Q123882672
Yusuf Mustafa;Q123889205
Yusuf Muttaqin;Q123871887
Yusuf Nasution;Q123869631
Yusuf Olii;Q123894131
Yusuf Pahotan Sitohang;Q123714646
Yusuf Puadz;Q123711344
Yusuf Ramlan;Q123889862
Yusuf Ridwan;Q123878533
Yusuf Santiaji;Q123868713
Yusuf Sesa Lallo;Q123897005
Yusuf Sudarnanto;Q123887486
Yusuf Sukma Ramysultama;Q123880757
Yusuf Umar;Q123884803
Yusuf Wally;Q123894887
Yusuf Wibisono;Q123874630
Yusuf. N;Q123872229
Yusup Kaury;Q123895568
Yusup Roni Dusay;Q123896978
Yusup Siahaan;Q123710335
Yusup Suharyansyah;Q123879074
Yusup Supardi;Q123878100
Yusvinda Sartika;Q123865936
Yusvita Lela Permata Sari;Q123875514
Yuswita;Q123871653
Yuti Uroza;Q123885602
Yutia Sobolim;Q123899320
Yutinus Pahabol;Q123899432
Yutrina Hariani;Q123870915
Yuvita Ross Dea;Q123868585
Yuwanda Firdaus;Q123715626
Yuwanda Yusnita;Q123710689
Yuyu Endah;Q123888783
Yuyum Minwaroh;Q123884959
Yuyun Andestri;Q123866522
Yuyun Dwi Riestiantari;Q123887001
Yuyun Heruwati;Q123884320
Yuyun Hidayat;Q123712349
Yuyun Hidayat;Q123871719
Yuyun Kristiana;Q123884463
Yuyun Kurniawati;Q123711577
Yuyun Meika Sari;Q123872566
Yuyun Pramita;Q123894809
Yuyun Rozalina;Q123871867
Yuyun Setiyo Ningsih;Q123881695
Yuyun Supriyatin;Q123878222
Yuyun Wahyu Kurnia;Q123879358
Yuyun Yumartini Mailan;Q123887473
Yuzam Rinaldo Finsa;Q123867034
Yves Sulengka P.;Q123709738
Z. Arifin;Q123872919
Z. Hendy;Q123873403
Z. Leander Ohoiwutun;Q123717042
Z.A. Ahmad;Q28163817
Z.S. Djoko Poernomo;Q123879856
Za'in Jamaludin;Q123888752
Zaahrotun Naafi'ah;Q123881065
Zaami Rianto;Q123893075
Zabur;Q123885559
Zacky Abidin;Q123713162
Zackya Yahya;Q123717184
Zadrak Ayorbaba;Q123896949
Zadrak Elwuar;Q123717051
Zaenab F Wahidah;Q123881992
Zaenab Fitria Permanawati;Q123882258
Zaenal Abidin;Q123866669
Zaenal Abidin;Q123877653
Zaenal Abidin;Q123885504
Zaenal Abidin;Q123885638
Zaenal Abidin S.;Q123891960
Zaenal Arifin;Q123712467
Zaenal Arifin;Q123868064
Zaenal Arifin;Q123868925
Zaenal Arifin;Q123878140
Zaenal Arifin;Q123876964
Zaenal Arifin;Q123876359
Zaenal Arifin;Q123880255
Zaenal Arifin Sahabuddin;Q123716409
Zaenal Arip;Q123879436
Zaenal Fanani;Q123883858
Zaenal Firdaus;Q123715317
Zaenal Mustofa;Q123712883
Zaenal Muttaqin;Q123711673
Zaeni;Q123867502
Zaeni Sudiratmoko;Q123881675
Zaenuddin Ladyek;Q123891417
Zaenul Hadi Yusandi;Q123885028
Zaenul Irvan;Q123714081
Zaenul Mutaqin;Q123711265
Zaetun;Q123876137
Zafira Alaika Putri Kurniawan;Q123715966
Zaharatul Ubudiah;Q123866273
