politikus;kode_politikus;partai;kode_partai
Hoirun Nisak;Q109430700;Partai Golongan Karya;Q1536552
Holong Duana Simorangkir;Q109697861;Partai Buruh;Q4203001
Homaidi;Q109696088;Partai Bintang Reformasi;Q4261778
Honing Sanny;Q97590598;Partai Demokrasi Indonesia Perjuangan;Q1186306
Honing Sanny;Q97590598;Partai Golongan Karya;Q1536552
Honing Sanny;Q97590598;Partai Gerakan Indonesia Raya;Q4261459
Hono Sejati;Q109427136;Partai Hati Nurani Rakyat;Q4262041
Horas Dofyand Situmorang;Q109692393;Partai Damai Sejahtera;Q7250923
Horas P. Sihombing;Q108891960;Partai Pemuda Indonesia;Q4261361
Horas P. Sihombing;Q108891960;Partai Keadilan dan Persatuan Indonesia;Q13405290
Horas Panjaitan;Q109697374;Partai Damai Sejahtera;Q7250923
Hotben Sinaga;Q109696414;Partai Demokrat (Indonesia);Q1186227
Hotland Hutajulu;Q109696463;Partai Peduli Rakyat Nasional;Q6974869
Hotni Rosally Sitanggang;Q109693341;Partai Buruh;Q4203001
Hotniel Simbolon;Q109698061;Partai Buruh;Q4203001
Hr Muchlis Ys.;Q108890108;Partai Demokrat (Indonesia);Q1186227
Hr.Mukhlis Ys;Q109694901;Partai Demokrat (Indonesia);Q1186227
Huala Siregar;Q108889316;Partai Keadilan dan Persatuan Indonesia;Q13405290
Hud Talib Hamdani;Q109697959;Partai Nasional Indonesia Marhaenisme;Q4261536
Hudarni Rani;Q12485910;Partai Golongan Karya;Q1536552
Hudi Yusuf;Q109696285;Partai Buruh;Q4203001
Hugua;Q49250648;Partai Demokrasi Indonesia Perjuangan;Q1186306
Hulman Gultom;Q109695365;Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
Hulman Sitorus;Q65376915;Partai Demokrat (Indonesia);Q1186227
Humaedi;Q109696382;Partai Golongan Karya;Q1536552
Humaidi;Q109450025;Partai Golongan Karya;Q1536552
Humaidy Joeri;Q109694527;Partai Bintang Reformasi;Q4261778
Humairah Yasriani Fitri;Q109697774;Partai Matahari Bangsa;Q4261542
Humar Dani;Q108891035;Partai Gerakan Indonesia Raya;Q4261459
Humar Dani;Q108891035;Partai Hati Nurani Rakyat;Q4262041
Humar Dani;Q108891035;Partai Kebangkitan Nusantara;Q115754699
Husain H.A;Q109697616;Partai Patriot;Q4261517
Husaini M. Amin;Q85991582;Partai Persatuan Indonesia;Q19752495
Husaini T. Bakri;Q109692444;Partai Kebangkitan Nasional Ulama;Q4262251
Husairi Abdi;Q16181644;Partai Persatuan Pembangunan;Q2669302
Husbiannas Alsi;Q109451073;Partai Demokrasi Indonesia Perjuangan;Q1186306
Husbiannas Alsi;Q109451073;Partai Gelombang Rakyat Indonesia;Q97016042
Husdi Karyono;Q108891299;Partai Demokrasi Indonesia Perjuangan;Q1186306
Husein Abdul Aziz;Q109696098;Partai Demokrat (Indonesia);Q1186227
Husein Alamsyah;Q108891306;Partai Amanat Nasional;Q2434365
Husein Alamsyah;Q108891306;Partai Ummat;Q106255756
Husein M. Al Banjari;Q109696901;Partai Keadilan Sejahtera;Q1511101
Husna;Q108889723;Partai Gerakan Indonesia Raya;Q4261459
Husna Hidayati;Q109695061;Partai Keadilan Sejahtera;Q1511101
Husnan Bey Fananie;Q25542579;Partai Persatuan Pembangunan;Q2669302
Husni Hadi;Q109693573;Partai Peduli Rakyat Nasional;Q6974869
Husni Ingratubun;Q109442638;Partai Persatuan Pembangunan;Q2669302
Husni Ingratubun;Q109442638;Partai Republika Nusantara;Q4261736
Husni Jumat;Q109451732;Partai Bulan Bintang;Q2915024
Husni Salim;Q108896458;Partai Keadilan Sejahtera;Q1511101
Husni Tamrin;Q109693949;Partai Amanat Nasional;Q2434365
Husni Tamrin;Q109693949;Partai Ummat;Q106255756
Husni Thamrin;Q108895313;Partai Golongan Karya;Q1536552
Husni Thamrin;Q109693769;Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
Hutomo Agus Subekti;Q109701495;Partai Demokrat (Indonesia);Q1186227
Hutomo Agus Subekti;Q109701495;Partai NasDem;Q4207219
Huzairin;Q109694125;Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
Huzrin Hood;Q16181764;Partai Kebangkitan Bangsa;Q1257317
I Dewa Nyoman Budiasa;Q112896734;Partai Gerakan Indonesia Raya;Q4261459
I Fransisca Siregar Panggabean;Q109693020;Partai Demokrasi Indonesia Perjuangan;Q1186306
I G N Kesuma Kelakan;Q96988052;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Gede Krisna Putra;Q108888559;Partai Golongan Karya;Q1536552
I Gede Pasek Suardika;Q18421308;Partai Demokrat (Indonesia);Q1186227
I Gede Pasek Suardika;Q18421308;Partai Hati Nurani Rakyat;Q4262041
I Gede Pasek Suardika;Q18421308;Partai Kebangkitan Nusantara;Q115754699
I Gusti Agung Ayu Sri Puspa Dewi;Q109419150;Partai Golongan Karya;Q1536552
I Gusti Agung Rai Wirajaya;Q96988058;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Gusti Ayu Bintang Darmawati;Q72117992;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Gusti Ayu Mas Sumatri;Q25469728;Partai NasDem;Q4207219
I Gusti Ketut Adhiputra;Q109702584;Partai Golongan Karya;Q1536552
I Gusti Ngurah Harta;Q122790755;Partai Solidaritas Indonesia;Q23744654
I Gusti Ngurah Jaya Negara;Q102984055;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Gusti Putu Artha;Q65208988;Partai NasDem;Q4207219
I Gusti Putu Eka Mulyawan Wira Senapati;Q108886869;Partai Demokrat (Indonesia);Q1186227
I Gusti Putu Eka Mulyawan Wira Senapati;Q108886869;Partai Hati Nurani Rakyat;Q4262041
I Kadek Arimbawa;Q109419216;Partai Hati Nurani Rakyat;Q4262041
I Ketut Kariyasa Adnyana;Q109564085;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Ketut Putra Suarthana;Q109541417;Partai Damai Sejahtera;Q7250923
I Ketut Sugiasa;Q112896729;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Komang Koheri;Q109564143;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Made Agus Mahayastra;Q61367325;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Made Bagiasa;Q108890254;Partai Golongan Karya;Q1536552
I Made Kembang Hartawan;Q112896727;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Made Mangku Pastika;Q1610713;Partai Demokrat (Indonesia);Q1186227
I Made Suwendha;Q136788623;Partai Karya Peduli Bangsa;Q5158454
I Made Urip;Q96988049;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Nengah Wiratha;Q109541427;Partai Gerakan Indonesia Raya;Q4261459
I Nengah Yasa Adi Susanto;Q109419128;Partai Solidaritas Indonesia;Q23744654
I Nyoman Adi Wiryatama;Q122790732;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Nyoman Giri Prasta;Q25469725;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Nyoman Parta;Q109564087;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Nyoman Ray Yusha;Q108886935;Partai Gerakan Indonesia Raya;Q4261459
I Nyoman Sugawa Korry;Q122809466;Partai Golongan Karya;Q1536552
I Nyoman Suwirta;Q25465862;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Putu Indra Mandhala Putra;Q109442605;Partai Hati Nurani Rakyat;Q4262041
I Putu Indra Mandhala Putra;Q109442605;Partai Kebangkitan Nusantara;Q115754699
I Putu Sudiartana;Q65209883;Partai Demokrat (Indonesia);Q1186227
I Putu Sudiartana;Q65209883;Partai Pengusaha dan Pekerja Indonesia;Q4261524
I Wayan Adnyana;Q108895056;Partai Hati Nurani Rakyat;Q4262041
I Wayan Adnyana;Q108895056;Partai Solidaritas Indonesia;Q23744654
I Wayan Geredeg;Q25465858;Partai Golongan Karya;Q1536552
I Wayan Gunastra;Q108902044;Partai Demokrat (Indonesia);Q1186227
I Wayan Koster;Q54805204;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Wayan Kusmiantha Dusak;Q114090626;Partai Golongan Karya;Q1536552
I Wayan Setiawan;Q108888571;Partai Kebangkitan Bangsa;Q1257317
I Wayan Setiawan;Q108888571;Partai NasDem;Q4207219
I Wayan Sudirta;Q96988056;Partai Demokrasi Indonesia Perjuangan;Q1186306
I Wayan Sugiana;Q108886864;Partai Demokrat (Indonesia);Q1186227
I Wayan Sukla Arnata;Q109419129;Partai Persatuan Indonesia;Q19752495
I. Satwika;Q109696416;Partai Kasih Demokrasi Indonesia;Q6026067
I.B. Putra D. Mantra;Q109702608;Partai Golongan Karya;Q1536552
I.B. Putra D. Mantra;Q109702608;Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
I.G.A.G. Eka Wahyu Prihadi S;Q108888587;Partai Keadilan Sejahtera;Q1511101
IE Paulyne;Q109692692;Partai Demokrasi Pembaruan;Q387768
Ian P. Siagian;Q109448757;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ibnu Adie;Q109696848;Partai Sarikat Indonesia;Q4261029
Ibnu Afany;Q109692706;Partai Demokrasi Kebangsaan;Q4261748
Ibnu Aqil D. Ghani;Q17410591;Partai Keadilan Sejahtera;Q1511101
Ibnu Asis;Q132662384;Partai Keadilan Sejahtera;Q1511101
Ibnu Hajar Dewantara;Q108889944;Partai Persatuan Pembangunan;Q2669302
Ibnu Mahmud Bilalludin;Q108892797;Partai Amanat Nasional;Q2434365
Ibnu Multazam;Q16181986;Partai Kebangkitan Bangsa;Q1257317
Ibnu Munzir;Q18421362;Partai Golongan Karya;Q1536552
Ibnu Parna;Q5984329;Partai Acoma;Q4059714
Ibnu Rahmat Muda;Q109694440;Partai Pemuda Indonesia;Q4261361
Ibnu Rusdi;Q108888865;Partai Demokrat (Indonesia);Q1186227
Ibnu Rusdi;Q108888865;Partai Hati Nurani Rakyat;Q4262041
Ibnu Sina;Q25471295;politikus independen;Tidak Ketemu
Ibnu Sina;Q25471295;Partai Demokrat (Indonesia);Q1186227
Ibnu Sina;Q25471295;Partai Keadilan Sejahtera;Q1511101
Ibrahim;Q109696254;Partai Bulan Bintang;Q2915024
Ibrahim Abdullah;Q109697869;Partai Hati Nurani Rakyat;Q4262041
Ibrahim Agustinus Medah;Q109450189;Partai Hati Nurani Rakyat;Q4262041
Ibrahim Arif;Q109697580;Partai Persatuan Pembangunan;Q2669302
Ibrahim Basrah;Q109697513;Partai Kedaulatan;Q4261751
Ibrahim Bouti;Q112897333;Partai Persatuan Pembangunan;Q2669302
Ibrahim Hasyim Se;Q109448663;Partai NasDem;Q4207219
Ibrahim Hasyim Se;Q109448663;Partai Hati Nurani Rakyat;Q4262041
Ibrahim Irwan Prayitno;Q123715014;Partai Keadilan Sejahtera;Q1511101
Ibrahim Kadir Tuasamu;Q109426437;Partai Amanat Nasional;Q2434365
Ibrahim Kadir Tuasamu;Q109426437;Partai Persatuan Indonesia;Q19752495
Ibrahim Sakty Batubara;Q12486205;Partai Amanat Nasional;Q2434365
Ibrahim Saleh;Q109540882;Partai Bintang Reformasi;Q4261778
Ibrahim Yusuf;Q109694553;Partai Kebangkitan Nasional Ulama;Q4262251
Ibrani;Q109693501;Partai Golongan Karya;Q1536552
Ichlas Mappilawa;Q108896166;Partai Golongan Karya;Q1536552
Ichlas Mappilawa;Q108896166;Partai NasDem;Q4207219
Ichsan Firdaus;Q123308132;Partai Golongan Karya;Q1536552
Ichsan Soelistio;Q12486233;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ichtiar Ndruru;Q109692955;Partai Golongan Karya;Q1536552
Ichwan Ishak;Q108890573;Partai Amanat Nasional;Q2434365
Ichwan Ruslan;Q109496142;Partai Demokrat (Indonesia);Q1186227
Icu Zukafril;Q109693840;Partai Amanat Nasional;Q2434365
Ida Ayu Citra S. Charma;Q109698081;Partai Pengusaha dan Pekerja Indonesia;Q4261524
Ida Ayu Trisnamurti;Q109450104;Partai Persatuan Indonesia;Q19752495
Ida Bagiawaty Rahman;Q123872280;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ida Bagus Nugroho;Q108894249;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ida Bagus Oka Gunastawa;Q108888550;Partai NasDem;Q4207219
Ida Bagus Oka Puniaatmaja;Q138496296;Partai Golongan Karya;Q1536552
Ida Bagus Putu Madeg;Q114265288;Partai Gerakan Indonesia Raya;Q4261459
Ida Bagus Putu Sukarta;Q97590765;Partai Gerakan Indonesia Raya;Q4261459
Ida Bagus Rai Dharmawijaya Mantra;Q16731948;politikus independen;Tidak Ketemu
Ida Basana Sitompul;Q109693092;Partai Buruh;Q4203001
Ida Didaneri;Q109696603;Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
Ida Farida;Q109696276;Partai Indonesia Sejahtera;Q4261364
Ida Farida;Q109495370;Partai Persatuan Indonesia;Q19752495
Ida Farida;Q109495370;Partai Berkarya;Q31173603
Ida Fauziyah;Q17410595;Partai Kebangkitan Bangsa;Q1257317
Ida HR.;Q109696763;Partai Karya Perjuangan;Q4261329
Ida Hastuti Listiantini;Q108890481;Partai Amanat Nasional;Q2434365
Ida Hastuti Listiantini;Q108890481;Partai Hati Nurani Rakyat;Q4262041
Ida Isbinahi Bahroen Jamil;Q109692620;Partai Peduli Rakyat Nasional;Q6974869
Ida Novelina;Q109442778;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ida Nurlaela Wiradinata;Q123711884;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ida Oetari Poernamasasi;Q109438104;Partai Amanat Nasional;Q2434365
Ida Ria Simamora;Q108894343;Partai Demokrat (Indonesia);Q1186227
Ida Ria Simamora;Q108894343;Partai NasDem;Q4207219
Ida Ria Simamora;Q108894343;Partai Persatuan Indonesia;Q19752495
Ida Rochmawati;Q108893584;Partai Keadilan Sejahtera;Q1511101
Ida Rosmiati;Q109697476;Partai Keadilan dan Persatuan Indonesia;Q13405290
Ida Royani;Q31174408;Partai Amanat Nasional;Q2434365
Ida Royani;Q109694349;Partai Sarikat Indonesia;Q4261029
Ida Suaidah;Q109696340;Partai Kedaulatan;Q4261751
Ida Syahroni;Q109697341;Partai Matahari Bangsa;Q4261542
Ida Yanti Amd;Q109694385;Partai Barisan Nasional;Q4261758
Idah Syahidah Rusli Habibie;Q123290562;Partai Golongan Karya;Q1536552
Idasari;Q109695322;Partai Kebangkitan Bangsa;Q1257317
Idealisman Dachi;Q109692674;Partai Kebangkitan Bangsa;Q1257317
Idealisman Dachi;Q109692674;Partai Golongan Karya;Q1536552
Idealisman Dachi;Q109692674;Partai Pelopor;Q7196857
Idham;Q109693262;Partai Demokrasi Indonesia Perjuangan;Q1186306
Idham Arsyad;Q108891342;Partai Kebangkitan Bangsa;Q1257317
Idham Chalid;Q6854752;Nahdlatul Ulama;Q686441
Idham Chalid;Q6854752;Majelis Syuro Muslimin Indonesia;Q2579297
Idham Khalid;Q109496139;Partai Gerakan Indonesia Raya;Q4261459
Idham Samawi;Q16182199;Partai Demokrasi Indonesia Perjuangan;Q1186306
Idham Samudra B.Ey;Q109692760;Partai Demokrasi Indonesia Perjuangan;Q1186306
Idi Muzayyad;Q109696345;Partai Kebangkitan Bangsa;Q1257317
Idil Wahyudin Noor;Q109694339;Partai Kebangkitan Nasional Ulama;Q4262251
Idin Rosyidin;Q109696302;Partai Gerakan Indonesia Raya;Q4261459
Idlinsah Harahap;Q112896192;Partai Kebangkitan Bangsa;Q1257317
Idris Kadir;Q85991649;Partai Demokrat (Indonesia);Q1186227
Idris Laena;Q96988335;Partai Golongan Karya;Q1536552
Idris Rahim;Q12486259;Partai Persatuan Pembangunan;Q2669302
Idris Sandiya;Q109426428;Partai Amanat Nasional;Q2434365
Idris Sandiya;Q109426428;Partai NasDem;Q4207219
Idris Sugeng;Q16182242;Partai Demokrat (Indonesia);Q1186227
Idrus;Q109696351;Partai Pemuda Indonesia;Q4261361
Idrus;Q109695893;Partai Keadilan Sejahtera;Q1511101
Idrus M.T. Mopili;Q110102888;Partai Golongan Karya;Q1536552
Idrus Marham;Q16773556;Partai Golongan Karya;Q1536552
Idrus Mony;Q108891162;Partai Gerakan Indonesia Raya;Q4261459
Idrus Shahab;Q108889908;Partai Amanat Nasional;Q2434365
Idy Muzayyad;Q109427741;Partai Persatuan Pembangunan;Q2669302
Idza Priyanti;Q12486262;Partai Demokrasi Indonesia Perjuangan;Q1186306
Iedil Suryadi;Q108902022;Partai Persatuan Pembangunan;Q2669302
Iemas Masithoh M Noor;Q109426628;Partai Kebangkitan Bangsa;Q1257317
Ifachril Madin;Q108890748;Partai Persatuan Pembangunan;Q2669302
Ifadah;Q109692780;Partai Demokrat (Indonesia);Q1186227
Ifat Fatimah;Q109696921;Partai Persatuan Daerah;Q7309185
Ifkar Hajar;Q109695717;Partai Matahari Bangsa;Q4261542
Ignasius Boli;Q138458282;Partai Golongan Karya;Q1536552
Ignasius Jonan;Q16182287;Independen;Tidak Ketemu
Ignatius Joseph Kasimo Hendrowahyono;Q13534328;Partai Katolik;Q5053222
Ignatius Mulyono;Q16182339;Partai Demokrat (Indonesia);Q1186227
Ihsan;Q108888855;Partai Keadilan Sejahtera;Q1511101
Ihsan Jauhari;Q108890034;Partai Amanat Nasional;Q2434365
Ihsan Jauhari;Q108890034;Partai Garda Republik Indonesia;Q123553440
Ihsan Yunus;Q96987692;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ihwan Datu Adam;Q105122093;Partai Demokrat (Indonesia);Q1186227
Iie Sumirat Sundana;Q108890484;Partai Keadilan Sejahtera;Q1511101
Iik Fikriyani;Q109697545;Partai Matahari Bangsa;Q4261542
Iin Inawati;Q109448945;Partai Persatuan Pembangunan;Q2669302
Iin Sumarni;Q109693826;Partai Pengusaha dan Pekerja Indonesia;Q4261524
Iing Solihin Noorgiana;Q109697275;Partai Hati Nurani Rakyat;Q4262041
Iing Syam Arifin;Q25463680;Partai Persatuan Pembangunan;Q2669302
Iip Miftahul Choiri;Q96989190;Partai Persatuan Pembangunan;Q2669302
Iis Aisah;Q108893144;Partai Demokrasi Indonesia Perjuangan;Q1186306
Iis Aisah;Q108893144;Partai Golongan Karya;Q1536552
Iis Edhy Prabowo;Q96987535;Partai Gerakan Indonesia Raya;Q4261459
Iis Rosmeria;Q109427380;Partai Bulan Bintang;Q2915024
Iis Sugianto;Q12486278;Partai Demokrasi Indonesia Perjuangan;Q1186306
Iis Sugianto;Q12486278;Partai Gerakan Indonesia Raya;Q4261459
Iis Yeni Suryani;Q108891503;Partai Bulan Bintang;Q2915024
Ika Prihatiningsih;Q109693937;Partai Gerakan Indonesia Raya;Q4261459
Ika Rizky Veryani;Q112896795;Partai NasDem;Q4207219
Ika Sa'diah;Q109720316;Partai Bulan Bintang;Q2915024
Ikang Fawzi;Q5726481;Partai Amanat Nasional;Q2434365
Ikbal Asimudin Abdul Fatah;Q108902987;Partai Persatuan Pembangunan;Q2669302
Ike Medyawati Setiarini;Q109426817;Partai Keadilan Sejahtera;Q1511101
Ikhsan Abdullah;Q108892004;Partai Kebangkitan Bangsa;Q1257317
Ikhsan Abdullah;Q108892004;Partai Gerakan Indonesia Raya;Q4261459
Ikhsan Effendi;Q108894183;Partai Persatuan Pembangunan;Q2669302
Ikhsan Gemala Putra;Q109541471;Partai Bulan Bintang;Q2915024
Ikhsan Rifani;Q108896187;Partai Persatuan Pembangunan;Q2669302
Ikhwan;Q109696070;Partai Bulan Bintang;Q2915024
Ikhwanuddin;Q114285698;Partai Gerakan Indonesia Raya;Q4261459
Ikhwanul Aulia;Q109450515;Partai Amanat Nasional;Q2434365
Ikmal Jaya;Q16182453;Partai Demokrasi Indonesia Perjuangan;Q1186306
Iko Faikoh;Q109696134;Partai Persatuan Nahdlatul Ummah Indonesia;Q4261054
Ilal Ferhard;Q19726508;Partai Demokrat (Indonesia);Q1186227
Ilham Arief Sirajuddin;Q12486324;Partai Golongan Karya;Q1536552
Ilham Budhi Prasetija;Q109429843;Partai Keadilan Sejahtera;Q1511101
Ilham Mendrofa;Q109449296;Partai Demokrat (Indonesia);Q1186227
Ilham Nor;Q112897071;Partai Gerakan Indonesia Raya;Q4261459
Ilham Pangestu;Q109563807;Partai Golongan Karya;Q1536552
Ilham Permana;Q109495677;Partai Golongan Karya;Q1536552
Ilham Sanusi;Q108895299;Partai Merdeka;Q1136182
Ilham Sanusi;Q108895299;Partai NasDem;Q4207219
Ilin Wilyanie;Q109426851;Partai Keadilan Sejahtera;Q1511101
Illiza Sa'aduddin Djamal;Q16182550;Partai Persatuan Pembangunan;Q2669302
Ilmi Nurul Huda;Q109449827;Partai Kebangkitan Bangsa;Q1257317
Ilmi Nurul Huda;Q109449827;Partai Hati Nurani Rakyat;Q4262041
Ilyas Panji Alam;Q25469355;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ilyas Sabli;Q25469558;Partai NasDem;Q4207219
Ilyas Sabli;Q25469558;Democratic National Party;Tidak Ketemu
Ima Darmawan;Q109695814;Partai Indonesia Sejahtera;Q4261364
Imal Isti'mal;Q109696215;Partai Matahari Bangsa;Q4261542
Imam Addaruqutni;Q109429269;Partai Amanat Nasional;Q2434365
Imam Addaruqutni;Q109429269;Partai Matahari Bangsa;Q4261542
Imam Addaruqutni;Q109429269;Partai Solidaritas Indonesia;Q23744654
Imam Anshori Saleh;Q65208268;Partai Kebangkitan Bangsa;Q1257317
Imam Anshori Saleh;Q65208268;Partai Hati Nurani Rakyat;Q4262041
Imam Basar Soebagio;Q109719486;Partai Nasional Indonesia Marhaenisme;Q4261536
Imam Hidayat;Q109697029;Partai Sarikat Indonesia;Q4261029
Imam Muhadi;Q109541581;Partai NasDem;Q4207219
Imam Nahrawi;Q18342562;Partai Kebangkitan Bangsa;Q1257317
Imam Nur Azis;Q108892554;Partai Keadilan Sejahtera;Q1511101
Imam Prawoto;Q109696567;Partai Republika Nusantara;Q4261736
Imam Priyono D Putranto;Q109861465;Partai Demokrasi Indonesia Perjuangan;Q1186306
Imam Subali;Q109444522;Partai Kebangkitan Bangsa;Q1257317
Imam Suhardjo Hm;Q108893824;Partai Amanat Nasional;Q2434365
Imam Suhardjo Hm;Q108893824;Partai Persatuan Pembangunan;Q2669302
Imam Supardi;Q12486362;Partai Golongan Karya;Q1536552
Imam Supardi;Q109698051;Partai Kebangkitan Nasional Ulama;Q4262251
Imam Supeno;Q109429418;Partai NasDem;Q4207219
Imam Suroso;Q17410598;Partai Demokrasi Indonesia Perjuangan;Q1186306
Imam Tjahya Abdullah;Q108902098;Partai Demokrat (Indonesia);Q1186227
Imam Utomo;Q6003122;Partai Demokrasi Indonesia Perjuangan;Q1186306
Imam Wahyudi;Q109696735;Partai Amanat Nasional;Q2434365
Iman Adinugraha;Q109426230;Partai Demokrat (Indonesia);Q1186227
Iman Adinugraha;Q109426230;Partai Amanat Nasional;Q2434365
Iman G. Manik;Q109697972;Partai Matahari Bangsa;Q4261542
Iman Prasetyo Moelyadi;Q108901793;Partai Golongan Karya;Q1536552
Iman Sutiawan;Q112896497;Partai Gerakan Indonesia Raya;Q4261459
Imang Maulana;Q109496096;Partai Bulan Bintang;Q2915024
Imang Maulana;Q109496096;Partai Ummat;Q106255756
Imanuel Anton Nikiyulun;Q109427258;Partai Demokrat (Indonesia);Q1186227
Imanuel Ekadianus Blegur;Q108895229;Partai Golongan Karya;Q1536552
Imanuel Ekadianus Blegur;Q108895229;Partai NasDem;Q4207219
Imas Aan Ubudiah;Q108892305;Partai Kebangkitan Bangsa;Q1257317
Imas Aryumningsih;Q16182848;Partai Golongan Karya;Q1536552
Imas Noeraini;Q109696857;Partai Hati Nurani Rakyat;Q4262041
Imas Susilawati;Q109426815;Partai NasDem;Q4207219
Imel Alfina;Q108894447;Partai Amanat Nasional;Q2434365
Imel Putri Cahyati;Q12486389;Partai NasDem;Q4207219
Imelda;Q109693452;Partai Kedaulatan;Q4261751
Imelda Andriani;Q109694466;Partai Golongan Karya;Q1536552
Imelda Berwanty Purba;Q85991682;Partai Solidaritas Indonesia;Q23744654
Imelda Diana Rondonuwu;Q108895770;Partai Golongan Karya;Q1536552
Imelda Sari;Q108901623;Partai Demokrat (Indonesia);Q1186227
Imelda Siagian;Q109694477;Partai Damai Sejahtera;Q7250923
Imer Darius;Q109449107;Partai Demokrat (Indonesia);Q1186227
Imilda;Q109692399;Partai Nasional Benteng Kerakyatan Indonesia;Q4261024
Imlahyudin;Q109694127;Partai Bulan Bintang;Q2915024
Immah Norda;Q109444138;Partai Persatuan Pembangunan;Q2669302
Immanuel Ebenezer;Q123710862;Partai Gerakan Indonesia Raya;Q4261459
Immanuel Partogi Matondang;Q109427828;Partai Persatuan Indonesia;Q19752495
Imral Adenansi;Q123871488;Partai Persatuan Pembangunan;Q2669302
Imran;Q85991691;Partai Gerakan Indonesia Raya;Q4261459
Imran M. Syam;Q108891919;Partai Bulan Bintang;Q2915024
Imran Mahfudi;Q109692420;Partai Demokrasi Indonesia Perjuangan;Q1186306
Imran Muchtar;Q12486405;Partai Demokrat (Indonesia);Q1186227
Imran Muchtar;Q12486405;Partai Kebangkitan Bangsa;Q1257317
Imran S. Djumadil;Q109541914;Partai Ummat;Q106255756
Imranul Hadi;Q109695462;Partai Keadilan dan Persatuan Indonesia;Q13405290
Imron Amin;Q96987620;Partai Gerakan Indonesia Raya;Q4261459
Imron M. Syam;Q109692402;Partai Bulan Bintang;Q2915024
Imron Su’aidi Masyhudi;Q109695820;Partai Kebangkitan Nasional Ulama;Q4262251
Ina Ammania;Q16182920;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ina Dwi Lestari;Q123883253;Partai NasDem;Q4207219
Ina Elisabeth Kobak;Q96989100;Partai NasDem;Q4207219
Ina Maulina;Q123715954;Partai Amanat Nasional;Q2434365
Ina Munirah Saleh;Q109696275;Partai Indonesia Sejahtera;Q4261364
Inas Nasrullah Zubir Be;Q97590862;Partai Hati Nurani Rakyat;Q4262041
Inawati M. Milano Moro;Q109695663;Partai Indonesia Baru;Q12503306
Inayah;Q109696586;Partai Persatuan Pembangunan;Q2669302
Indah Dhamayanti Putri;Q85991702;Partai Golongan Karya;Q1536552
Indah Kurnia;Q16182937;Partai Demokrasi Indonesia Perjuangan;Q1186306
Indah Kusuma Wati;Q109694409;Partai Amanat Nasional;Q2434365
Indah Murtiningtias;Q109696470;Partai Gerakan Indonesia Raya;Q4261459
Indah Novianti;Q109428460;Partai Demokrat (Indonesia);Q1186227
Indah P Nataprawira;Q108892382;Partai Demokrasi Indonesia Perjuangan;Q1186306
Indah Permata Sari;Q123715383;Partai Golongan Karya;Q1536552
Indah Putri Indriani;Q20426522;Partai Bulan Bintang;Q2915024
Indah Putri Indriani;Q20426522;Partai Gerakan Indonesia Raya;Q4261459
Indah Siti Khulaidah;Q108894821;Partai Amanat Nasional;Q2434365
Indah Sulistiyorini;Q108892463;Partai Keadilan Sejahtera;Q1511101
Indah Tri Kusuma Ningrum;Q109693333;Partai Persatuan Nahdlatul Ummah Indonesia;Q4261054
Indah Uziana Paramitha;Q109692314;Partai Keadilan dan Persatuan Indonesia;Q13405290
Indahwati;Q109449739;Partai Amanat Nasional;Q2434365
Indara Gunawan Windiaz;Q109696074;Partai Bulan Bintang;Q2915024
Indi Natalia;Q109696091;Partai Bintang Reformasi;Q4261778
Indira Chunda Thita Syahrul;Q97590819;Partai Amanat Nasional;Q2434365
Indira Chunda Thita Syahrul;Q97590819;Partai NasDem;Q4207219
Indra;Q16183047;Partai Keadilan Sejahtera;Q1511101
Indra Bambang Utoyo;Q25469944;Partai Golongan Karya;Q1536552
Indra Cahya;Q109697247;Partai Demokrat (Indonesia);Q1186227
Indra Catri;Q16183063;Partai Gerakan Indonesia Raya;Q4261459
