kodeId:ID,nama,:LABEL
Q123890497,Abd. Muin Hayat,Politikus
Q123893664,Abd. Munib Untung,Politikus
Q123892958,Abd. Munir Razak,Politikus
Q123866115,Abd. Mutalib,Politikus
Q123865863,Abd. Muthalib,Politikus
Q123713531,Abd. Rachman,Politikus
Q123895963,Abd. Rahim Ode Yani,Politikus
Q123891168,Abd. Rahman,Politikus
Q123892308,Abd. Rahman,Politikus
Q123892533,Abd. Rahman,Politikus
Q123894505,Abd. Rahman,Politikus
Q123892141,Abd. Rahman,Politikus
Q123897085,Abd. Rahman,Politikus
Q123895607,Abd. Rahman Drakel,Politikus
Q123893151,Abd. Rahman Rahim,Politikus
Q123895308,Abd. Rasyid Kota Lima,Politikus
Q123870659,Abd. Rasyidin Pane,Politikus
Q123891090,Abd. Razak,Politikus
Q123869764,Abd. Razaq,Politikus
Q123868981,Abd. Razaq,Politikus
Q123891653,Abd. Salam,Politikus
Q123892159,Abd. Salam Dg. Bali,Politikus
Q123892536,Abd. Samad,Politikus
Q123894779,Abd. Samad,Politikus
Q123714419,Abd. Sami',Politikus
Q123889057,Abd. Wahab Syahrani,Politikus
Q123888067,Abd. Wahid Hasyimi,Politikus
Q123891074,Abd. Wahid Yahya Mardani,Politikus
Q123870491,Abdal,Politikus
Q123878983,Abdan Sakuro,Politikus
Q123870078,Abdan Syakuro Lubis,Politikus
Q123699428,Abdi Hasan Subari,Politikus
Q123716304,Abdi Kurniawan,Politikus
Q123887047,Abdi Maskur,Politikus
Q123887700,Abdi Rabani,Politikus
Q123888904,Abdi Rahman,Politikus
Q123892804,Abdi Reynaldi,Politikus
Q123889473,Abdi Riduansyah,Politikus
Q123869923,Abdi Santosa Ritonga,Politikus
Q123890699,Abdi Van Gobel,Politikus
Q123867259,Abdianto,Politikus
Q123889801,Abdika,Politikus
Q123716515,Abdil Rahman Zaenal,Politikus
Q123895682,Abdila Albar,Politikus
Q123888794,Abdillah,Politikus
Q123870607,Abdinta Sembiring,Politikus
Q123869531,Abdiyanto,Politikus
Q123726404,,Politikus
Q123699370,Abdon Siagian,Politikus
Q123866953,Abdu,Politikus
Q123883968,Abdu Rohman Mahmud,Politikus
Q123897481,Abdu Rumkel,Politikus
Q123714112,Abdu Syakur,Politikus
Q123892967,Abduh Bakry Pabe,Politikus
Q123888219,Abduh Hamid Koli Hobol,Politikus
Q123887498,Abdul Aen,Politikus
Q123715868,Abdul Akhir,Politikus
Q123870334,Abdul Ali Simatupang,Politikus
Q123872605,Abdul Arif,Politikus
Q123895010,Abdul Asis Bugis,Politikus
Q123710223,Abdul Azis,Politikus
Q123878922,Abdul Azis,Politikus
Q123876634,Abdul Azis,Politikus
Q123885127,Abdul Azis,Politikus
Q123885376,Abdul Azis,Politikus
Q123893546,Abdul Azis,Politikus
Q123895352,Abdul Azis Kerubun,Politikus
Q123896409,Abdul Azis Kilkoda,Politikus
Q123877639,Abdul Azis Muslim,Politikus
Q123892086,Abdul Azis Namu,Politikus
Q123892671,Abdul Azis Pangeran,Politikus
Q123712989,Abdul Aziz,Politikus
Q123714958,Abdul Aziz,Politikus
Q123726028,,Politikus
Q123875015,Abdul Aziz,Politikus
Q123873511,Abdul Aziz,Politikus
Q123877858,Abdul Aziz,Politikus
Q123879875,Abdul Aziz,Politikus
Q123881757,Abdul Aziz,Politikus
Q123882076,Abdul Aziz,Politikus
Q123717198,Abdul Aziz La Ode,Politikus
Q123711560,Abdul Bais,Politikus
Q123873429,Abdul Bar As'ad,Politikus
Q123878217,Abdul Bari,Politikus
Q123876951,Abdul Canter Sangaji,Politikus
Q123713454,Abdul Choliq Rosjidi,Politikus
Q123885355,Abdul Fakah,Politikus
Q123879837,Abdul Fikri,Politikus
Q123873788,Abdul Fikri Yanto,Politikus
Q123898265,Abdul Fitroh Ridho,Politikus
Q123714865,Abdul Gafur Ritonga,Politikus
Q123870199,Abdul Gani Ge'e,Politikus
Q123897246,Abdul Gani Rahawarin,Politikus
Q123895429,Abdul Gani Renleeuw,Politikus
Q123897556,Abdul Gani Rumakat,Politikus
Q123896248,Abdul Gani Sangadji,Politikus
Q123717063,Abdul Ganing,Politikus
Q123880799,Abdul Ghofar Ismail,Politikus
Q123876448,Abdul Ghofir,Politikus
Q123713675,Abdul Ghoni,Politikus
Q123883931,Abdul Ghoni,Politikus
Q123889025,Abdul Giaz,Politikus
Q123868036,Abdul Gofar,Politikus
Q123712375,Abdul Gopur,Politikus
Q123877711,Abdul Gopur,Politikus
Q123715559,Abdul Hadi,Politikus
Q123877243,Abdul Hadi,Politikus
Q123886920,Abdul Hadi,Politikus
Q123888120,Abdul Hadi,Politikus
Q123887325,Abdul Hadi,Politikus
Q123726281,,Politikus
Q123893544,Abdul Hadi Jamal,Politikus
Q123893385,Abdul Hady,Politikus
Q123883361,Abdul Hafid,Politikus
Q123887843,Abdul Hafid,Politikus
Q123892107,Abdul Hafid,Politikus
Q123716008,Abdul Hafid Baso,Politikus
Q123882117,Abdul Hafiz,Politikus
Q123713983,Abdul Hakam,Politikus
Q123876079,Abdul Hakam Husaam,Politikus
Q123884327,Abdul Hakim,Politikus
Q123894445,Abdul Hakim,Politikus
Q123713890,Abdul Hakim Hidayat,Politikus
Q123877721,Abdul Hakim Mufid,Politikus
Q123893208,Abdul Halik,Politikus
Q123886432,Abdul Halik Moka,Politikus
Q123894926,Abdul Halil Hatala,Politikus
Q123699688,Abdul Halim,Politikus
Q123876165,Abdul Halim,Politikus
