:START_ID,:END_ID,:TYPE
Q123894690,Q2434365,ANGGOTA_PARTAI
Q123891596,Q1186227,ANGGOTA_PARTAI
Q123893895,Q2434365,ANGGOTA_PARTAI
Q123716543,Q2915024,ANGGOTA_PARTAI
Q123870295,Q97016042,ANGGOTA_PARTAI
Q123890497,Q1257317,ANGGOTA_PARTAI
Q123893664,Q4207219,ANGGOTA_PARTAI
Q123892958,Q4262041,ANGGOTA_PARTAI
Q123866115,Q97016042,ANGGOTA_PARTAI
Q123865863,Q1186227,ANGGOTA_PARTAI
Q123713531,Q1536552,ANGGOTA_PARTAI
Q123895963,Q4207219,ANGGOTA_PARTAI
Q123892533,Q1186306,ANGGOTA_PARTAI
Q123891168,Q97016042,ANGGOTA_PARTAI
Q123894505,Q1186306,ANGGOTA_PARTAI
Q123892141,Q4207219,ANGGOTA_PARTAI
Q123892308,Q19752495,ANGGOTA_PARTAI
Q123897085,Q23744654,ANGGOTA_PARTAI
Q123895607,Q4203001,ANGGOTA_PARTAI
Q123893151,Q1536552,ANGGOTA_PARTAI
Q123895308,Q1511101,ANGGOTA_PARTAI
Q123870659,Q2434365,ANGGOTA_PARTAI
Q123891090,Q1186227,ANGGOTA_PARTAI
Q123868981,Q97016042,ANGGOTA_PARTAI
Q123869764,Q1257317,ANGGOTA_PARTAI
Q123891653,Q1511101,ANGGOTA_PARTAI
Q123892159,Q1511101,ANGGOTA_PARTAI
Q123892536,Q1186306,ANGGOTA_PARTAI
Q123894779,Q4207219,ANGGOTA_PARTAI
Q123714419,Q106255756,ANGGOTA_PARTAI
Q123889057,Q1511101,ANGGOTA_PARTAI
Q123888067,Q1511101,ANGGOTA_PARTAI
Q123891074,Q2434365,ANGGOTA_PARTAI
Q123870491,Q2669302,ANGGOTA_PARTAI
Q123878983,Q4262041,ANGGOTA_PARTAI
Q123870078,Q1511101,ANGGOTA_PARTAI
Q123699428,Q4203001,ANGGOTA_PARTAI
Q123716304,Q115754699,ANGGOTA_PARTAI
Q123887047,Q1257317,ANGGOTA_PARTAI
Q123887700,Q123553440,ANGGOTA_PARTAI
Q123888904,Q4207219,ANGGOTA_PARTAI
Q123892804,Q2669302,ANGGOTA_PARTAI
Q123889473,Q4207219,ANGGOTA_PARTAI
Q123869923,Q1536552,ANGGOTA_PARTAI
Q123890699,Q1186306,ANGGOTA_PARTAI
Q123867259,Q1186227,ANGGOTA_PARTAI
Q123889801,Q1186227,ANGGOTA_PARTAI
Q123716515,Q115754699,ANGGOTA_PARTAI
Q123895682,Q123553440,ANGGOTA_PARTAI
Q123888794,Q1536552,ANGGOTA_PARTAI
Q123870607,Q4207219,ANGGOTA_PARTAI
Q123869531,Q1536552,ANGGOTA_PARTAI
Q123699370,Q19752495,ANGGOTA_PARTAI
Q123866953,Q19752495,ANGGOTA_PARTAI
Q123883968,Q4207219,ANGGOTA_PARTAI
Q123897481,Q1257317,ANGGOTA_PARTAI
Q123714112,Q19752495,ANGGOTA_PARTAI
Q123892967,Q2434365,ANGGOTA_PARTAI
Q123888219,Q2434365,ANGGOTA_PARTAI
Q123887498,Q4261459,ANGGOTA_PARTAI
Q123715868,Q123553440,ANGGOTA_PARTAI
Q123870334,Q2434365,ANGGOTA_PARTAI
Q123872605,Q23744654,ANGGOTA_PARTAI
Q123895010,Q97016042,ANGGOTA_PARTAI
Q123710223,Q4262041,ANGGOTA_PARTAI
Q123876634,Q1536552,ANGGOTA_PARTAI
Q123878922,Q2669302,ANGGOTA_PARTAI
Q123885127,Q1257317,ANGGOTA_PARTAI
Q123885376,Q4203001,ANGGOTA_PARTAI
Q123893546,Q4207219,ANGGOTA_PARTAI
Q123895352,Q1257317,ANGGOTA_PARTAI
Q123896409,Q4262041,ANGGOTA_PARTAI
Q123877639,Q4207219,ANGGOTA_PARTAI
Q123892086,Q2669302,ANGGOTA_PARTAI
Q123892671,Q2434365,ANGGOTA_PARTAI
Q123712989,Q2669302,ANGGOTA_PARTAI
Q123714958,Q2669302,ANGGOTA_PARTAI
Q123873511,Q23744654,ANGGOTA_PARTAI
Q123875015,Q1257317,ANGGOTA_PARTAI
Q123877858,Q1511101,ANGGOTA_PARTAI
Q123879875,Q1257317,ANGGOTA_PARTAI
Q123881757,Q1257317,ANGGOTA_PARTAI
Q123882076,Q4207219,ANGGOTA_PARTAI
Q123717198,Q2669302,ANGGOTA_PARTAI
Q123711560,Q4203001,ANGGOTA_PARTAI
Q123873429,Q2669302,ANGGOTA_PARTAI
Q123878217,Q2915024,ANGGOTA_PARTAI
Q123876951,Q4207219,ANGGOTA_PARTAI
Q123713454,Q115754699,ANGGOTA_PARTAI
Q123885355,Q1536552,ANGGOTA_PARTAI
Q123879837,Q123553440,ANGGOTA_PARTAI
Q123873788,Q1511101,ANGGOTA_PARTAI
Q123898265,Q2669302,ANGGOTA_PARTAI
Q123714865,Q4207219,ANGGOTA_PARTAI
Q123870199,Q1511101,ANGGOTA_PARTAI
Q123897246,Q2915024,ANGGOTA_PARTAI
Q123895429,Q2434365,ANGGOTA_PARTAI
Q123897556,Q23744654,ANGGOTA_PARTAI
Q123896248,Q1536552,ANGGOTA_PARTAI
Q123717063,Q2434365,ANGGOTA_PARTAI
Q123880799,Q1511101,ANGGOTA_PARTAI
Q123876448,Q106255756,ANGGOTA_PARTAI
Q123713675,Q23744654,ANGGOTA_PARTAI
Q123883931,Q4261459,ANGGOTA_PARTAI
Q123889025,Q4207219,ANGGOTA_PARTAI
Q123868036,Q1186227,ANGGOTA_PARTAI
Q123712375,Q1257317,ANGGOTA_PARTAI
Q123877711,Q2434365,ANGGOTA_PARTAI
Q123715559,Q115754699,ANGGOTA_PARTAI
Q123877243,Q1257317,ANGGOTA_PARTAI
Q123886920,Q1186227,ANGGOTA_PARTAI
Q123888120,Q2669302,ANGGOTA_PARTAI
Q123887325,Q2669302,ANGGOTA_PARTAI
Q123893544,Q1536552,ANGGOTA_PARTAI
Q123893385,Q1536552,ANGGOTA_PARTAI
Q123883361,Q1186306,ANGGOTA_PARTAI
Q123887843,Q2434365,ANGGOTA_PARTAI
Q123892107,Q4261459,ANGGOTA_PARTAI
Q123716008,Q1536552,ANGGOTA_PARTAI
Q123882117,Q123553440,ANGGOTA_PARTAI
Q123713983,Q1186227,ANGGOTA_PARTAI
Q123876079,Q1511101,ANGGOTA_PARTAI
Q123884327,Q115754699,ANGGOTA_PARTAI
Q123894445,Q97016042,ANGGOTA_PARTAI
Q123713890,Q2669302,ANGGOTA_PARTAI
Q123877721,Q1186227,ANGGOTA_PARTAI
Q123893208,Q2915024,ANGGOTA_PARTAI
Q123886432,Q2915024,ANGGOTA_PARTAI
Q123894926,Q2434365,ANGGOTA_PARTAI
Q123699688,Q1257317,ANGGOTA_PARTAI
Q123876165,Q4261459,ANGGOTA_PARTAI
Q123884501,Q4261459,ANGGOTA_PARTAI
Q123894414,Q1186306,ANGGOTA_PARTAI
Q123895183,Q1186227,ANGGOTA_PARTAI
Q123867247,Q2915024,ANGGOTA_PARTAI
Q123872876,Q1536552,ANGGOTA_PARTAI
Q123872969,Q1257317,ANGGOTA_PARTAI
Q123881985,Q1257317,ANGGOTA_PARTAI
Q123883290,Q4262041,ANGGOTA_PARTAI
Q123885305,Q19752495,ANGGOTA_PARTAI
Q123897119,Q1257317,ANGGOTA_PARTAI
Q123883219,Q1257317,ANGGOTA_PARTAI
Q123893501,Q106255756,ANGGOTA_PARTAI
Q123884850,Q2915024,ANGGOTA_PARTAI
Q123885643,Q2915024,ANGGOTA_PARTAI
Q123713505,Q2669302,ANGGOTA_PARTAI
Q123890050,Q1536552,ANGGOTA_PARTAI
Q123891177,Q1511101,ANGGOTA_PARTAI
Q123711310,Q115754699,ANGGOTA_PARTAI
Q123875107,Q2669302,ANGGOTA_PARTAI
Q123892933,Q97016042,ANGGOTA_PARTAI
Q123893959,Q1536552,ANGGOTA_PARTAI
Q123893752,Q1186306,ANGGOTA_PARTAI
Q123891204,Q2434365,ANGGOTA_PARTAI
Q123882802,Q123553440,ANGGOTA_PARTAI
Q123891357,Q19752495,ANGGOTA_PARTAI
Q123884946,Q97016042,ANGGOTA_PARTAI
Q123883141,Q4207219,ANGGOTA_PARTAI
Q123871205,Q1257317,ANGGOTA_PARTAI
Q123897604,Q1536552,ANGGOTA_PARTAI
Q123886875,Q1511101,ANGGOTA_PARTAI
Q123890411,Q1511101,ANGGOTA_PARTAI
Q123885180,Q4207219,ANGGOTA_PARTAI
Q123879403,Q4262041,ANGGOTA_PARTAI
Q123883100,Q23744654,ANGGOTA_PARTAI
Q123869499,Q1257317,ANGGOTA_PARTAI
Q123875623,Q2915024,ANGGOTA_PARTAI
Q123872996,Q1536552,ANGGOTA_PARTAI
Q123889940,Q123553440,ANGGOTA_PARTAI
Q123869580,Q1511101,ANGGOTA_PARTAI
Q123882190,Q2669302,ANGGOTA_PARTAI
Q123716202,Q97016042,ANGGOTA_PARTAI
Q123872002,Q2434365,ANGGOTA_PARTAI
Q123874155,Q2915024,ANGGOTA_PARTAI
Q123891905,Q4207219,ANGGOTA_PARTAI
Q123711559,Q4207219,ANGGOTA_PARTAI
Q123884454,Q2915024,ANGGOTA_PARTAI
Q123892253,Q1536552,ANGGOTA_PARTAI
Q123892380,Q1186227,ANGGOTA_PARTAI
Q123873079,Q106255756,ANGGOTA_PARTAI
Q123715595,Q2915024,ANGGOTA_PARTAI
Q123872590,Q2915024,ANGGOTA_PARTAI
Q123878350,Q4261459,ANGGOTA_PARTAI
Q123884662,Q4207219,ANGGOTA_PARTAI
Q123898582,Q1511101,ANGGOTA_PARTAI
Q123891703,Q4261459,ANGGOTA_PARTAI
Q123717007,Q1511101,ANGGOTA_PARTAI
Q123865796,Q1536552,ANGGOTA_PARTAI
Q123895294,Q1536552,ANGGOTA_PARTAI
Q123712727,Q4203001,ANGGOTA_PARTAI
Q123714261,Q4261459,ANGGOTA_PARTAI
Q123717177,Q1511101,ANGGOTA_PARTAI
Q123871968,Q1511101,ANGGOTA_PARTAI
Q123895236,Q4207219,ANGGOTA_PARTAI
Q123870602,Q4207219,ANGGOTA_PARTAI
Q123882865,Q1257317,ANGGOTA_PARTAI
Q123885395,Q1511101,ANGGOTA_PARTAI
Q123867905,Q1511101,ANGGOTA_PARTAI
Q123872687,Q1511101,ANGGOTA_PARTAI
Q123874947,Q4207219,ANGGOTA_PARTAI
Q123877782,Q1257317,ANGGOTA_PARTAI
Q123890057,Q4207219,ANGGOTA_PARTAI
Q123875234,Q1536552,ANGGOTA_PARTAI
Q123871722,Q2669302,ANGGOTA_PARTAI
Q123872621,Q2669302,ANGGOTA_PARTAI
Q123867429,Q1257317,ANGGOTA_PARTAI
Q123868236,Q4262041,ANGGOTA_PARTAI
Q123874265,Q2434365,ANGGOTA_PARTAI
Q123893260,Q4261459,ANGGOTA_PARTAI
Q123885074,Q97016042,ANGGOTA_PARTAI
Q123881872,Q97016042,ANGGOTA_PARTAI
Q123890682,Q1257317,ANGGOTA_PARTAI
Q123897955,Q1511101,ANGGOTA_PARTAI
Q123896224,Q1257317,ANGGOTA_PARTAI
Q123875875,Q1257317,ANGGOTA_PARTAI
Q123879228,Q115754699,ANGGOTA_PARTAI
Q123895846,Q1511101,ANGGOTA_PARTAI
Q123714736,Q4207219,ANGGOTA_PARTAI
Q123888814,Q97016042,ANGGOTA_PARTAI
Q123879966,Q2669302,ANGGOTA_PARTAI
Q123894428,Q1536552,ANGGOTA_PARTAI
Q123876336,Q1511101,ANGGOTA_PARTAI
Q123888606,Q97016042,ANGGOTA_PARTAI
Q123896502,Q1536552,ANGGOTA_PARTAI
Q123876238,Q1511101,ANGGOTA_PARTAI
Q123892711,Q4261459,ANGGOTA_PARTAI
Q123714837,Q1257317,ANGGOTA_PARTAI
Q123893834,Q2669302,ANGGOTA_PARTAI
Q123715576,Q123553440,ANGGOTA_PARTAI
Q123894538,Q2434365,ANGGOTA_PARTAI
Q123893809,Q2915024,ANGGOTA_PARTAI
Q123711305,Q1511101,ANGGOTA_PARTAI
Q123711209,Q115754699,ANGGOTA_PARTAI
Q123875844,Q2434365,ANGGOTA_PARTAI
Q123892983,Q2915024,ANGGOTA_PARTAI
Q123710646,Q4262041,ANGGOTA_PARTAI
Q123889622,Q4262041,ANGGOTA_PARTAI
Q123876736,Q2669302,ANGGOTA_PARTAI
Q123890016,Q1257317,ANGGOTA_PARTAI
Q123873063,Q19752495,ANGGOTA_PARTAI
Q123895207,Q2669302,ANGGOTA_PARTAI
Q123895276,Q1257317,ANGGOTA_PARTAI
Q123890320,Q2434365,ANGGOTA_PARTAI
Q123879735,Q4262041,ANGGOTA_PARTAI
Q123878604,Q4203001,ANGGOTA_PARTAI
Q123877843,Q4203001,ANGGOTA_PARTAI
Q123879880,Q4261459,ANGGOTA_PARTAI
Q123716433,Q1186227,ANGGOTA_PARTAI
Q123714461,Q97016042,ANGGOTA_PARTAI
Q123716352,Q106255756,ANGGOTA_PARTAI
Q123870870,Q1186306,ANGGOTA_PARTAI
Q123885141,Q1186306,ANGGOTA_PARTAI
Q123893432,Q115754699,ANGGOTA_PARTAI
Q123894513,Q4207219,ANGGOTA_PARTAI
Q123892112,Q4261459,ANGGOTA_PARTAI
Q123896602,Q2669302,ANGGOTA_PARTAI
Q123895391,Q97016042,ANGGOTA_PARTAI
