kodeId:ID,nama,:LABEL
Q64893423,SMP Diponegoro Tanjung Bintang,Pendidikan
Q109330029,SMP Frater Padang,Pendidikan
Q125034004,SMP Islam Al Azhar I,Pendidikan
Q125050089,SMP Kristen Kawangkoan,Pendidikan
Q19739792,SMP Labschool Kebayoran,Pendidikan
Q65212544,SMP Muhammadiyah 1 Surakarta,Pendidikan
Q64879864,SMP Negeri 1 Abiansemal,Pendidikan
Q65210693,SMP Negeri 1 Arjawinangun,Pendidikan
Q12510986,SMP Negeri 1 Banda Aceh,Pendidikan
Q19739811,SMP Negeri 1 Banjarmasin,Pendidikan
Q97572803,SMP Negeri 1 Binjai,Pendidikan
Q97577573,SMP Negeri 1 Blangkejeren,Pendidikan
Q123774213,SMP Negeri 1 Bukittinggi,Pendidikan
Q116289096,SMP Negeri 1 Ciamis,Pendidikan
Q12511001,SMP Negeri 1 Cilacap,Pendidikan
Q12511012,SMP Negeri 1 Gresik,Pendidikan
Q16877900,SMP Negeri 1 Jakarta,Pendidikan
Q12511013,SMP Negeri 1 Jember,Pendidikan
Q13200125,SMP Negeri 1 Kawali,Pendidikan
Q12511017,SMP Negeri 1 Kendari,Pendidikan
Q123771375,SMP Negeri 1 Kota Bengkulu,Pendidikan
Q123772853,SMP Negeri 1 Kotapinang,Pendidikan
Q123773288,SMP Negeri 1 Labuhan Deli,Pendidikan
Q12511024,SMP Negeri 1 Lamongan,Pendidikan
Q19748362,SMP Negeri 1 Magelang,Pendidikan
Q12511027,SMP Negeri 1 Manado,Pendidikan
Q19739892,SMP Negeri 1 Medan,Pendidikan
Q123792449,SMP Negeri 1 Pacet,Pendidikan
Q12511035,SMP Negeri 1 Pacitan,Pendidikan
Q19746602,SMP Negeri 1 Padang,Pendidikan
Q121127078,SMP Negeri 1 Padang Panjang,Pendidikan
Q12511036,SMP Negeri 1 Palembang,Pendidikan
Q123773865,SMP Negeri 1 Payakumbuh,Pendidikan
Q117449250,SMP Negeri 1 Sijunjung,Pendidikan
Q64879314,SMP Negeri 1 Singaraja,Pendidikan
Q123774044,SMP Negeri 1 Sitiung,Pendidikan
Q122200459,SMP Negeri 1 Solok,Pendidikan
Q25455566,SMP Negeri 1 Sungguminasa,Pendidikan
Q12511053,SMP Negeri 1 Surabaya,Pendidikan
Q12511060,SMP Negeri 1 Wonosobo,Pendidikan
Q12510912,SMP Negeri 109 Jakarta,Pendidikan
Q56392794,SMP Negeri 11 Jakarta,Pendidikan
Q12510927,SMP Negeri 115 Jakarta,Pendidikan
Q64575258,SMP Negeri 12 Jakarta,Pendidikan
Q12510937,SMP Negeri 12 Medan,Pendidikan
Q19739973,SMP Negeri 12 Semarang,Pendidikan
Q25462661,SMP Negeri 12 Surabaya,Pendidikan
Q12510939,SMP Negeri 13 Bandung,Pendidikan
Q109062183,SMP Negeri 13 Padang,Pendidikan
Q25462675,SMP Negeri 15 Surabaya,Pendidikan
Q12510953,SMP Negeri 154 Jakarta,Pendidikan
Q19740064,SMP Negeri 2 Bandung,Pendidikan
Q12511105,SMP Negeri 2 Depok,Pendidikan
Q12511106,SMP Negeri 2 Garut,Pendidikan
Q97621591,SMP Negeri 2 Kapuas Kuala,Pendidikan
Q12511108,SMP Negeri 2 Kendari,Pendidikan
Q19740092,SMP Negeri 2 Manado,Pendidikan
Q12511113,SMP Negeri 2 Mataram,Pendidikan
Q12511116,SMP Negeri 2 Palangka Raya,Pendidikan
Q19740102,SMP Negeri 2 Palu,Pendidikan
Q12511120,SMP Negeri 2 Semarang,Pendidikan
Q123774014,SMP Negeri 2 Sijunjung,Pendidikan
Q56391215,SMP Negeri 2 Sungai Penuh,Pendidikan
Q12708504,SMP Negeri 20 Jakarta,Pendidikan
Q123770835,SMP Negeri 20 Pekanbaru,Pendidikan
Q64575367,SMP Negeri 206 Jakarta,Pendidikan
Q97577684,SMP Negeri 22 Jakarta,Pendidikan
Q106037215,SMP Negeri 3 Ambon,Pendidikan
Q25466592,SMP Negeri 3 Bandung,Pendidikan
Q123774214,SMP Negeri 3 Bukittinggi,Pendidikan
Q12511162,SMP Negeri 3 Jember,Pendidikan
Q123774216,SMP Negeri 4 Bukittinggi,Pendidikan
Q112590962,SMP Negeri 4 Jambi,Pendidikan
Q109330048,SMP Negeri 4 Padang,Pendidikan
Q12511174,SMP Negeri 41 Jakarta,Pendidikan
Q12511196,SMP Negeri 5 Bandung,Pendidikan
Q19746637,SMP Negeri 5 Bogor,Pendidikan
Q12511198,SMP Negeri 5 Jakarta,Pendidikan
Q123774084,SMP Negeri 5 Padang,Pendidikan
Q97210189,SMP Negeri 6 Ambon,Pendidikan
Q28725246,SMP Negeri 6 Bukittinggi,Pendidikan
Q65452073,SMP Negeri 6 Gorontalo,Pendidikan
Q12511211,SMP Negeri 6 Surakarta,Pendidikan
Q123771366,SMP Negeri 7 Kota Bengkulu,Pendidikan
Q64575277,SMP Negeri 73 Jakarta,Pendidikan
Q64575370,SMP Negeri 76 Jakarta,Pendidikan
Q25467218,SMP Negeri 8 Bandung,Pendidikan
Q19746662,SMP Negeri 81 Jakarta,Pendidikan
Q56399689,SMP Negeri 9 Palu,Pendidikan
Q98202768,SMP Negeri Karubaga,Pendidikan
Q125049703,SMP Pesantren Immim Makassar,Pendidikan
Q97598785,SMP Sang Timur,Pendidikan
Q64895262,SMP Taman Siswa Gedong Tataan,Pendidikan
Q125033030,SMP Tunas Indonesia,Pendidikan
Q125034542,SMP Yappenda,Pendidikan
Q77299396,SMP Yos Sudarso Padang,Pendidikan
Q62070209,SMPN 15 Bandung,Pendidikan
Q109913939,"STAI Pancawahana (STAIPANA) Bangil, Pasuruan",Pendidikan
Q109921919,STAI Tafaqquhfiddin Dumai,Pendidikan
Q97598324,STAIPI Bandung,Pendidikan
Q97577635,STHM AHM-PTHM,Pendidikan
Q97572685,STIE ABI Surabaya,Pendidikan
Q97572626,STIE Bisnis Indonesia,Pendidikan
Q109919364,STIE IBEK Pangkalpinang Bangka,Pendidikan
Q97577621,STIE ISM,Pendidikan
Q19741350,STIE Keuangan Perbankan dan Pembangunan Padang,Pendidikan
